time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kal_x; kal_y; kal_vx; kal_vy
0.016; 0; 0; 0; 0; 0; 0; 0.000175566; 0.00779269; 9.78579; 0.0036; 0.0036; -4.93656e-09; 0; 0; 7.2e-05; 0; 0; 0; 0; -3.08535e-07; 0
0.032; 0; 0; 0; 0; 0; 0; 0.000157199; 8.24754; 9.57853; 0.1008; 0.0864; 0.00210936; 0; 0; 0.001872; 0; 0.00505263; -4.92416e-09; 0; 0.131834; 0.000666114
0.048; 0; 0; 0; 0; 0; 0; 0.000158149; -4.38398; 9.78795; 0.1908; 0.1944; 0.00309442; 4.97716e-06; 0.00505263; 0.00385197; 1.00042e-05; -0.00126316; 0.00210253; 1.06234e-05; 0.061565; 0.000754874
0.064; 0; 0; 0; 0; 0; 0; 0.000107586; 4.76009; 9.75453; 0.2952; 0.324; 0.00529607; 2.19613e-06; -0.00126316; 0.00619197; 7.04838e-06; -0.0101053; 0.00307547; 2.26125e-05; 0.137597; -1.34819e-05
0.08; 0; 0; 0; 0; 0; 0; 9.95245e-05; 0.135932; 9.81003; 0.4176; 0.4032; 0.0075304; -2.03832e-05; -0.0101053; 0.00820787; -1.33235e-05; 0.00505263; 0.00525286; 2.22942e-05; 0.139647; -3.12608e-06
0.096; 0; 0; 0; 0; 0; 0; 5.15729e-05; 0.0970974; 9.81246; 0.5004; 0.504; 0.00978768; -8.97789e-06; 0.00505263; 0.0100438; -4.04689e-06; -0.00126316; 0.00744812; 2.21281e-05; 0.141074; -4.93251e-06
0.112; 0; 0; 0; 0; 0; 0; 4.29571e-05; 0.0578946; 9.81257; 0.594; 0.5976; 0.0120578; -1.18454e-05; -0.00126316; 0.0119158; -6.41152e-06; -0.00126316; 0.00964868; 2.19206e-05; 0.141874; -5.94689e-06
0.128; 0; 0; 0; 0; 0; 0; 3.56148e-05; 0.0179972; 9.81252; 0.6912; 0.7056; 0.0143305; -1.47162e-05; -0.00126316; 0.0139678; -9.00352e-06; -0.00505263; 0.0118421; 2.16854e-05; 0.142035; -6.7727e-06
0.144; 0; 0; 0; 0; 0; 0; 2.92912e-05; -0.0220075; 9.8123; 0.8028; 0.8064; 0.0165956; -2.61609e-05; -0.00505263; 0.0160918; -1.97353e-05; -0.00126316; 0.014016; 2.14263e-05; 0.141555; -6.17267e-06
0.16; 0; 0; 0; 0; 0; 0; 4.90925e-05; -0.0217829; 9.81143; 0.8856; 0.8892; 0.0188531; -2.90125e-05; -0.00126316; 0.0177478; -2.18271e-05; -0.00126316; 0.0161582; 2.11671e-05; 0.141078; -5.5774e-06
0.176; 0; 0; 0; 0; 0; 0; -8.34056e-06; -0.0210432; 9.80906; 1.0152; 1.0008; 0.0211033; -3.18548e-05; -0.00126316; 0.0201598; -2.48738e-05; 0.00505263; 0.0182671; 2.09083e-05; 0.140611; -7.91314e-06
0.192; 0; 0; 0; 0; 0; 0; 1.65549e-05; -0.0198954; 9.81052; 1.098; 1.1196; 0.0233463; -2.05216e-05; 0.00505263; 0.0221758; -1.46877e-05; -0.00757895; 0.0203414; 2.06043e-05; 0.140162; -4.5565e-06
0.208; 0; 0; 0; 0; 0; 0; 1.31769e-05; -0.018295; 9.81042; 1.2024; 1.188; 0.0255826; -3.74707e-05; -0.00757895; 0.0239037; -2.7784e-05; 0.00505263; 0.0223801; 2.03465e-05; 0.139737; -6.6704e-06
0.224; 0; 0; 0; 0; 0; 0; 1.02126e-05; -0.016288; 9.81033; 1.2924; 1.296; 0.0278127; -2.62024e-05; 0.00505263; 0.0258837; -1.77799e-05; -0.00126316; 0.0243825; 2.00483e-05; 0.139343; -6.18684e-06
0.24; 0; 0; 0; 0; 0; 0; 7.64343e-06; -0.0139065; 9.81027; 1.404; 1.386; 0.0300374; -2.90124e-05; -0.00126316; 0.0278997; -2.03264e-05; 0.00631579; 0.026348; 1.9752e-05; 0.138985; -8.38517e-06
0.256; 0; 0; 0; 0; 0; 0; 4.14274e-06; -0.0112029; 9.81022; 1.5156; 1.5048; 0.0322571; -1.4993e-05; 0.00631579; 0.0302037; -5.7749e-06; 0.00378947; 0.0282764; 1.94158e-05; 0.138669; -9.54181e-06
0.272; 0; 0; 0; 0; 0; 0; -1.98523e-06; -0.00821345; 9.81018; 1.5984; 1.6092; 0.0344727; -6.59681e-06; 0.00378947; 0.0320757; 1.31898e-06; -0.00378947; 0.0301679; 1.90572e-05; 0.138398; -8.57399e-06
0.288; 0; 0; 0; 0; 0; 0; -8.07269e-06; -0.0049846; 9.81015; 1.71; 1.6956; 0.0366851; -1.49806e-05; -0.00378947; 0.0340556; -6.18416e-06; 0.00505263; 0.0320225; 1.87108e-05; 0.138178; -9.61239e-06
0.304; 0; 0; 0; 0; 0; 0; -1.4057e-05; -0.00156051; 9.81012; 1.8; 1.8108; 0.0388951; -3.81437e-06; 0.00505263; 0.0361076; 4.18379e-06; -0.00378947; 0.0338406; 1.83452e-05; 0.138009; -9.04809e-06
0.32; 0; 0; 0; 0; 0; 0; -1.98795e-05; 0.00201534; 9.8101; 1.908; 1.9224; 0.0411036; -1.21834e-05; -0.00378947; 0.0383036; -4.13787e-06; -0.00505263; 0.0356229; 1.79866e-05; 0.137896; -8.58349e-06
0.336; 0; 0; 0; 0; 0; 0; -2.5489e-05; 0.00571258; 9.81008; 2.0088; 2.0196; 0.0433115; -2.33394e-05; -0.00505263; 0.0402836; -1.4142e-05; -0.00378947; 0.03737; 1.76339e-05; 0.13784; -8.46026e-06
0.352; 0; 0; 0; 0; 0; 0; -2.93359e-05; 0.00944202; 9.81007; 2.1096; 2.1024; 0.0455199; -3.1708e-05; -0.00378947; 0.0421196; -2.10995e-05; 0.00252632; 0.0390826; 1.72821e-05; 0.137841; -8.39845e-06
0.368; 0; 0; 0; 0; 0; 0; -3.03425e-05; 0.0131913; 9.81005; 2.2176; 2.2104; 0.0477296; -2.61254e-05; 0.00252632; 0.0442795; -1.56427e-05; 0.00252632; 0.0407618; 1.69308e-05; 0.137899; -8.18511e-06
0.384; 0; 0; 0; 0; 0; 0; -3.10105e-05; 0.0168974; 9.81003; 2.3256; 2.3256; 0.0499417; -2.0537e-05; 0.00252632; 0.0465115; -1.00039e-05; 2.60209e-18; 0.0424084; 1.65827e-05; 0.138014; -8.18923e-06
0.4; 0; 0; 0; 0; 0; 0; -3.13772e-05; 0.0205096; 9.81002; 2.4012; 2.4156; 0.052157; -2.0537e-05; 2.60209e-18; 0.0481675; -1.00039e-05; -0.00505263; 0.0440235; 1.62349e-05; 0.138184; -9.21984e-06
0.416; 0; 0; 0; 0; 0; 0; -3.14712e-05; 0.0239782; 9.81; 2.5128; 2.5164; 0.0543765; -3.17512e-05; -0.00505263; 0.0502915; -2.07357e-05; -0.00126316; 0.045608; 1.58715e-05; 0.138406; -9.55067e-06
0.432; 0; 0; 0; 0; 0; 0; -3.13153e-05; 0.0272553; 9.80999; 2.6064; 2.61; 0.0566009; -3.4561e-05; -0.00126316; 0.0521635; -2.31003e-05; -0.00126316; 0.0471631; 1.55041e-05; 0.138678; -9.94771e-06
0.448; 0; 0; 0; 0; 0; 0; -3.09287e-05; 0.030295; 9.80997; 2.7144; 2.7216; 0.0588311; -3.73781e-05; -0.00126316; 0.0543595; -2.58742e-05; -0.00252632; 0.0486899; 1.51322e-05; 0.138995; -1.08606e-05
0.464; 0; 0; 0; 0; 0; 0; -3.03284e-05; 0.0330546; 9.80996; 2.8152; 2.8188; 0.0610678; -4.30286e-05; -0.00252632; 0.0563395; -3.08763e-05; -0.00126316; 0.0501892; 1.4748e-05; 0.139354; -1.13747e-05
0.48; 0; 0; 0; 0; 0; 0; -2.95299e-05; 0.035495; 9.80994; 2.9124; 2.934; 0.0633115; -4.58628e-05; -0.00126316; 0.0584635; -3.35592e-05; -0.00757895; 0.0516621; 1.43584e-05; 0.139748; -1.47356e-05
0.496; 0; 0; 0; 0; 0; 0; -2.39633e-05; 0.03532; 9.80996; 3.0384; 3.0168; 0.0655623; -6.29214e-05; -0.00757895; 0.0605514; -4.93839e-05; 0.00757895; 0.0531095; 1.39187e-05; 0.140135; -1.14038e-05
0.512; 0; 0; 0; 0; 0; 0; -2.62762e-05; 0.0348042; 9.80985; 3.1176; 3.1392; 0.0678199; -4.58105e-05; 0.00757895; 0.0625674; -3.41049e-05; -0.00757895; 0.0545317; 1.35356e-05; 0.140511; -1.46808e-05
0.528; 0; 0; 0; 0; 0; 0; -2.38904e-05; 0.033935; 9.80994; 3.2112; 3.2076; 0.0700843; -6.2972e-05; -0.00757895; 0.0641873; -4.63827e-05; 0.00126316; 0.055929; 1.31044e-05; 0.14087; -1.41566e-05
0.544; 0; 0; 0; 0; 0; 0; -2.28605e-05; 0.0327384; 9.80995; 3.3156; 3.3228; 0.072355; -6.01037e-05; 0.00126316; 0.0663833; -4.36088e-05; -0.00252632; 0.0573014; 1.26858e-05; 0.141206; -1.51678e-05
0.56; 0; 0; 0; 0; 0; 0; -2.16307e-05; 0.0312277; 9.80995; 3.4236; 3.402; 0.0746318; -6.58555e-05; -0.00252632; 0.0682553; -4.83381e-05; 0.00757895; 0.058649; 1.22558e-05; 0.141513; -1.2332e-05
0.576; 0; 0; 0; 0; 0; 0; -2.02355e-05; 0.0294238; 9.80996; 3.5172; 3.5244; 0.076914; -4.85582e-05; 0.00757895; 0.0704153; -3.19677e-05; -0.00252632; 0.059972; 1.18754e-05; 0.141789; -1.32091e-05
0.592; 0; 0; 0; 0; 0; 0; -1.87056e-05; 0.0273515; 9.80996; 3.6216; 3.6108; 0.0792013; -5.43367e-05; -0.00252632; 0.0723233; -3.67879e-05; 0.00378947; 0.0612703; 1.14856e-05; 0.142027; -1.20278e-05
0.608; 0; 0; 0; 0; 0; 0; -1.70704e-05; 0.025039; 9.80997; 3.726; 3.726; 0.081493; -4.56523e-05; 0.00378947; 0.0745192; -2.84662e-05; -8.67362e-18; 0.0625438; 1.11191e-05; 0.142224; -1.20311e-05
0.624; 0; 0; 0; 0; 0; 0; -1.5358e-05; 0.0225177; 9.80998; 3.8232; 3.8232; 0.0837885; -4.56523e-05; -8.67362e-18; 0.0764632; -2.84662e-05; -8.67362e-18; 0.0637924; 1.0757e-05; 0.142377; -1.20344e-05
0.64; 0; 0; 0; 0; 0; 0; -1.35956e-05; 0.0198217; 9.80999; 3.9168; 3.9204; 0.0860871; -4.56523e-05; -8.67362e-18; 0.0783712; -2.84662e-05; -0.00126316; 0.065016; 1.03994e-05; 0.142483; -1.22803e-05
0.656; 0; 0; 0; 0; 0; 0; -1.18094e-05; 0.0169873; 9.80999; 4.0284; 3.9996; 0.088388; -4.85587e-05; -0.00126316; 0.0802792; -3.08763e-05; 0.0101053; 0.0662145; 1.00426e-05; 0.142539; -1.07999e-05
0.672; 0; 0; 0; 0; 0; 0; -1.00246e-05; 0.0140526; 9.81; 4.086; 4.104; 0.09069.0673889; 0.000252173; 0.142548; 0.000507713
0.688; 0; 0; 0; 0; 0; 0; -8.26521e-06; 0.0110568; 9.81; 4.2192; 4.2444; 0.0929934; 7.32924e-05; 0.00252632; 0.0846349; 6.42986e-05; -0.00884211; 0.0685364; 0.000256164; 0.142501; 0.000507175
0.704; 0; 0; 0; 0; 0; 0; -6.55431e-06; 0.0080397; 9.81; 4.3056; 4.302; 0.0952967; 5.29259e-05; -0.00884211; 0.0860748; 5.15661e-05; 0.00126316; 0.069658; 0.000260065; 0.142402; 0.000507098
0.72; 0; 0; 0; 0; 0; 0; -4.91362e-06; 0.00504122; 9.81001; 4.4316; 4.428; 0.0975994; 5.58345e-05; 0.00126316; 0.0885948; 5.47493e-05; 0.00126316; 0.0707535; 0.000263885; 0.142251; 0.000506959
0.736; 0; 0; 0; 0; 0; 0; -3.36373e-06; 0.00210177; 9.81001; 4.518; 4.518; 0.0999006; 5.87413e-05; 0.00126316; 0.0903588; 5.69775e-05; 4.42354e-17; 0.0718228; 0.000267624; 0.142048; 0.000506875
0.752; 0; 0; 0; 0; 0; 0; -1.90311e-06; -0.000742256; 9.81001; 4.6188; 4.6188; 0.1022; 5.87413e-05; 4.42354e-17; 0.0923748; 5.69775e-05; 4.42354e-17; 0.0728657; 0.000271287; 0.141795; 0.000506789
0.768; 0; 0; 0; 0; 0; 0; 3.36492e-06; -0.0034618; 9.81; 4.716; 4.7016; 0.104496; 5.87413e-05; 4.42354e-17; 0.0941748; 5.69775e-05; 0.00505263; 0.073882; 0.000274876; 0.141495; 0.00050579
0.784; 0; 0; 0; 0; 0; 0; 8.88792e-06; -0.00601015; 9.81; 4.8168; 4.8204; 0.106788; 7.0325e-05; 0.00505263; 0.0963708; 6.8073e-05; -0.00126316; 0.0748717; 0.000278378; 0.14115; 0.000505981
0.8; 0; 0; 0; 0; 0; 0; 1.44428e-05; -0.00834943; 9.81; 4.9392; 4.9356; 0.109077; 6.74343e-05; -0.00126316; 0.0987468; 6.50718e-05; 0.00126316; 0.0758346; 0.000281814; 0.140763; 0.000505564
0.816; 0; 0; 0; 0; 0; 0; 1.99455e-05; -0.0104387; 9.80999; 5.0328; 5.0184; 0.111361; 7.03191e-05; 0.00126316; 0.100511; 6.73e-05; 0.00505263; 0.0767707; 0.000285176; 0.140338; 0.000503998
0.832; 0; 0; 0; 0; 0; 0; 2.53298e-05; -0.0122279; 9.80999; 5.13; 5.1228; 0.113639; 8.18323e-05; 0.00505263; 0.102527; 7.74861e-05; 0.00252632; 0.0776801; 0.00028845; 0.139881; 0.000503095
0.848; 0; 0; 0; 0; 0; 0; 2.99926e-05; -0.0137097; 9.80999; 5.2092; 5.22; 0.115912; 8.7575e-05; 0.00252632; 0.104291; 8.19425e-05; -0.00378947; 0.0785629; 0.000291647; 0.139395; 0.000504306
0.864; 0; 0; 0; 0; 0; 0; 3.10624e-05; -0.0148407; 9.80998; 5.3136; 5.328; 0.11818; 7.89829e-05; -0.00378947; 0.106415; 7.38936e-05; -0.00505263; 0.0794193; 0.000294804; 0.138887; 0.000506043
0.88; 0; 0; 0; 0; 0; 0; 3.16523e-05; -0.0155978; 9.80998; 5.4252; 5.4288; 0.120441; 6.75571e-05; -0.00505263; 0.108539; 6.31619e-05; -0.00126316; 0.0802496; 0.000297929; 0.138362; 0.00050642
0.896; 0; 0; 0; 0; 0; 0; 3.19585e-05; -0.0159686; 9.80998; 5.5296; 5.5152; 0.122696; 6.47083e-05; -0.00126316; 0.110447; 6.07518e-05; 0.00505263; 0.0810542; 0.000301003; 0.137827; 0.0005044
0.912; 0; 0; 0; 0; 0; 0; 3.20057e-05; -0.0159439; 9.80998; 5.6232; 5.6232; 0.124946; 7.60726e-05; 0.00505263; 0.112463; 7.09379e-05; 4.59702e-17; 0.0818334; 0.000303989; 0.137289; 0.000504302
0.928; 0; 0; 0; 0; 0; 0; 3.18137e-05; -0.0155207; 9.80998; 5.7384; 5.724; 0.127189; 7.60726e-05; 4.59702e-17; 0.114623; 7.09379e-05; 0.00505263; 0.0825879; 0.000306921; 0.136752; 0.000502316
0.944; 0; 0; 0; 0; 0; 0; 3.13996e-05; -0.0147021; 9.80998; 5.814; 5.8104; 0.129426; 8.73776e-05; 0.00505263; 0.116243; 7.91231e-05; 0.00126316; 0.0833183; 0.00030977; 0.136225; 0.000501761
0.96; 0; 0; 0; 0; 0; 0; 3.07789e-05; -0.0134981; 9.80998; 5.9256; 5.922; 0.131658; 9.0197e-05; 0.00126316; 0.118475; 8.19425e-05; 0.00126316; 0.0840253; 0.000312561; 0.135713; 0.000501229
0.976; 0; 0; 0; 0; 0; 0; 2.99663e-05; -0.0119245; 9.80999; 6.0336; 6.0192; 0.133885; 9.301e-05; 0.00126316; 0.120527; 8.45345e-05; 0.00505263; 0.0847097; 0.000315296; 0.135221; 0.000499531
0.992; 0; 0; 0; 0; 0; 0; 2.89764e-05; -0.0100033; 9.80999; 6.1308; 6.1344; 0.136108; 0.000104239; 0.00505263; 0.122651; 9.52662e-05; -0.00126316; 0.0853723; 0.000317958; 0.134757; 0.000499788
1.008; 0.12342; -0.100002; -3.10559; -2.77658; -3.19624e-05; 0.100002; 2.78244e-05; -0.00776234; 9.81; 6.228; 6.2316; 0.138328; 0.000101434; -0.00126316; 0.124595; 9.28106e-05; -0.00126316; 0.0887539; -0.00294157; 0.134781; 0.000436739
1.024; 0.12346.2424; 6.228; 0.138328; -8.2195e-05; -0.00126316; 0.124703; -6.95744e-05; 0.00505263; 0.088752; 0.00651783; 0.134778; 0.000120766
