time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.0625941; 0; 0
0.064; 1; 0.0624051; 0.865818; 0.0540315
0.128; 0.999252; 0.0624039; 0.447901; 0.0279299
0.192; 0.996761; 0.0624274; 0.27834; 0.0173197
0.256; 0.996442; 0.0624359; 0.233448; 0.0145237
0.32; 0.974859; 0.0625787; 0.597692; 0.0364624
0.384; 0.972061; 0.0627938; 0.904792; 0.0552279
0.448; 0.942626; 0.0629392; 0.761024; 0.0451502
0.512; 0.943621; 0.0631044; 0.817406; 0.0486738
0.576; 0.943761; 0.0633076; 1.03961; 0.0621137
0.64; 0.944158; 0.0635091; 1.04003; 0.0623631
0.704; 0.943451; 0.0637101; 1.0414; 0.0625957
0.768; 0.943726; 0.0639116; 1.04035; 0.0627485
0.832; 0.943953; 0.0641141; 1.04131; 0.0630205
0.896; 0.945431; 0.0643178; 1.04155; 0.0633347
