time; distance; velocity towards goal direction; overall
0; 0.256184; 0; 0
0.064; 0.25581; 0.865818; 0.221485
0.128; 0.256004; 0.447901; 0.114664
0.192; 0.255883; 0.27834; 0.0712225
0.256; 0.255984; 0.233448; 0.059759
0.32; 0.256242; 0.597692; 0.153154
0.384; 0.256634; 0.904792; 0.2322
0.448; 0.256964; 0.761024; 0.195556
0.512; 0.257319; 0.817406; 0.210335
0.576; 0.257772; 1.03961; 0.267982
0.64; 0.258226; 1.04003; 0.268564
0.704; 0.258682; 1.0414; 0.269391
0.768; 0.259139; 1.04035; 0.269594
0.832; 0.259599; 1.04131; 0.270321
0.896; 0.26006; 1.04155; 0.270865
