time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.0625941; 0; 0
0.064; 1; 0.0624051; 0.865818; 0.0540315
0.128; 0.999252; 0.0624039; 0.447901; 0.0279299
0.192; 0.996761; 0.0624274; 0.27834; 0.0173197
0.256; 0.996442; 0.0624359; 0.233448; 0.0145237
0.32; 0.974859; 0.0625787; 0.597692; 0.0364624
0.384; 0.972061; 0.0627938; 0.904792; 0.0552279
0.448; 0.942626; 0.0629392; 0.761024; 0.0451502
0.512; 0.943621; 0.0631044; 0.817406; 0.0486738
0.576; 0.943761; 0.0633076; 1.03961; 0.0621137
0.64; 0.944158; 0.0635091; 1.04003; 0.0623631
0.704; 0.943451; 0.0637101; 1.0414; 0.0625957
0.768; 0.943726; 0.0639116; 1.04035; 0.0627485
0.832; 0.943953; 0.0641141; 1.04131; 0.0630205
0.896; 0.945431; 0.0643178; 1.04155; 0.0633347
0.96; 0.947355; 0.0645212; 1.03532; 0.0632831
1.024; 0.950188; 0.0647257; 1.03739; 0.0638015
1.088; 0.952233; 0.0649302; 1.03664; 0.0640941
1.152; 0.956295; 0.0650771; 0.755312; 0.0470053
1.216; 0.962394; 0.0652693; 0.984655; 0.0618509
1.28; 0.969226; 0.0654728; 1.03344; 0.0655799
1.344; 0.969089; 0.0656764; 1.04806; 0.066705
1.408; 0.974915; 0.0658716; 0.910604; 0.0584783
1.472; 0.932733; 0.0659918; 0.735928; 0.0452983
1.536; 0.926994; 0.0660293; 0.702003; 0.0429687
1.6; 0.920697; 0.0661865; 0.984026; 0.0599643
1.664; 0.923893; 0.0663484; 0.995381; 0.0610156
1.728; 0.933746; 0.0664838; 0.8226; 0.0510662
1.792; 0.932862; 0.0666686; 1.0393; 0.0646368
1.856; 0.936017; 0.0668425; 1.0151; 0.0635101
1.92; 0.935605; 0.0670274; 1.03774; 0.065078
1.984; 0.934742; 0.0672107; 1.03935; 0.0652969
2.048; 0.934309; 0.0673921; 1.0388; 0.0654079
2.112; 0.933697; 0.0675719; 1.04037; 0.0656387
2.176; 0.933394; 0.0677487; 1.03784; 0.0656293
2.24; 0.933285; 0.0679218; 1.03949; 0.0658934
2.304; 0.932706; 0.0680919; 1.03823; 0.0659379
2.368; 0.932149; 0.0682593; 1.03808; 0.066051
2.432; 0.932658; 0.0684252; 1.03899; 0.0663055
2.496; 0.932321; 0.06859; 1.03733; 0.0663349
2.56; 0.934292; 0.0686043; 0.714884; 0.0458215
2.624; 0.934619; 0.0687449; 0.989797; 0.0635947
2.688; 0.935157; 0.0689094; 1.03754; 0.0668604
2.752; 0.951445; 0.0689433; 0.77598; 0.0509009
2.816; 0.952979; 0.0690695; 0.944826; 0.0621901
2.88; 0.952855; 0.0692501; 1.04027; 0.0686423
2.944; 0.953156; 0.0694314; 1.04026; 0.068843
3.008; 0.954484; 0.0696147; 1.04112; 0.0691782
3.072; 0.955909; 0.0698011; 1.04509; 0.069732
3.136; 0.957905; 0.0699895; 1.03965; 0.0697014
3.2; 0.960515; 0.0701823; 1.04268; 0.0702886
3.264; 0.96309; 0.0703805; 1.04355; 0.0707348
3.328; 0.965979; 0.0705823; 1.04151; 0.0710115
3.392; 0.969789; 0.0707899; 1.04142; 0.0714948
3.456; 0.972888; 0.0710031; 1.04035; 0.0718653
3.52; 0.977433; 0.0712229; 1.0407; 0.0724491
3.584; 0.979905; 0.0714512; 1.04; 0.0728163
3.648; 0.982654; 0.0716879; 1.04135; 0.0733575
3.712; 0.972632; 0.0719265; 0.96541; 0.0675382
3.776; 0.983081; 0.0721682; 0.962295; 0.0682721
3.84; 0.96748; 0.0724078; 0.956896; 0.0670335
3.904; 0.965828; 0.072682; 1.04566; 0.0734034
3.968; 0.977393; 0.0729301; 0.969252; 0.0690897
4.032; 0.978717; 0.0731221; 0.77583; 0.0555229
4.096; 0.981298; 0.0733578; 1.00683; 0.0724772
4.16; 0.979815; 0.0736011; 0.996096; 0.071834
4.224; 0.95211; 0.0738036; 0.841823; 0.0591542
4.288; 0.940929; 0.0739822; 0.845479; 0.0588555
4.352; 0.950083; 0.074051; 0.635866; 0.0447361
4.416; 0.953428; 0.074269; 0.939272; 0.0665099
4.48; 0.95736; 0.0745081; 0.992641; 0.0708061
4.544; 0.954489; 0.0746729; 0.782252; 0.0557546
4.608; 0.954335; 0.0748876; 0.984966; 0.0703934
4.672; 0.955386; 0.0751206; 0.936744; 0.0672293
4.736; 0.955642; 0.0753399; 0.997192; 0.0717958
4.8; 0.95513; 0.0755739; 1.02749; 0.0741673
4.864; 0.95487; 0.0758159; 1.04362; 0.0755519
4.928; 0.957075; 0.0760439; 0.999902; 0.0727726
4.992; 0.950629; 0.0759992; 0.368671; 0.0266354
5.056; 0.951084; 0.0761917; 0.776598; 0.0562759
5.12; 0.943392; 0.0763899; 0.787315; 0.0567384
5.184; 0.93232; 0.0765851; 0.803628; 0.0573805
5.248; 0.926415; 0.0767154; 0.612987; 0.0435652
5.312; 0.916553; 0.0769034; 0.870675; 0.0613705
5.376; 0.901592; 0.0770846; 0.859382; 0.059726
5.44; 0.892715; 0.0772778; 0.895139; 0.061753
5.504; 0.889424; 0.0774852; 0.9409; 0.0648441
5.568; 0.886515; 0.0776851; 0.923598; 0.0636072
5.632; 0.876806; 0.0777276; 0.656137; 0.0447171
5.696; 0.866038; 0.0779003; 0.843554; 0.05691
5.76; 0.856853; 0.0781147; 0.907028; 0.0607099
5.824; 0.856573; 0.0783534; 0.951126; 0.0638352
5.888; 0.862618; 0.0785637; 0.888671; 0.0602257
5.952; 0.857609; 0.0787034; 0.706837; 0.0477092
6.016; 0.860917; 0.078938; 0.911052; 0.0619142
6.08; 0.868589; 0.0791675; 0.912976; 0.0627798
6.144; 0.877421; 0.0793863; 0.910064; 0.0633907
6.208; 0.886457; 0.0796007; 0.916436; 0.0646662
6.272; 0.888503; 0.0798167; 0.926367; 0.0656955
6.336; 0.900737; 0.0800313; 0.919371; 0.0662749
6.4; 0.90132; 0.0801713; 0.711011; 0.0513776
6.464; 0.905918; 0.08041; 0.959535; 0.0698972
6.528; 0.916145; 0.0806467; 0.963731; 0.0712044
6.592; 0.918332; 0.0808824; 0.974702; 0.0723979
6.656; 0.917186; 0.0811157; 0.966776; 0.0719264
6.72; 0.919294; 0.0812734; 0.713669; 0.0533212
6.784; 0.920373; 0.0815103; 0.970115; 0.0727779
6.848; 0.921113; 0.0817473; 0.966628; 0.0727856
6.912; 0.920838; 0.0819957; 0.99488; 0.0751182
6.976; 0.920205; 0.0822482; 0.99571; 0.0753605
7.04; 0.917933; 0.0825036; 0.991631; 0.075099
7.104; 0.916343; 0.0827584; 0.975676; 0.0739904
7.168; 0.92235; 0.0830026; 0.950775; 0.072789
7.232; 0.921315; 0.0832573; 0.999602; 0.0766757
7.296; 0.920694; 0.0835116; 0.99299; 0.0763497
7.36; 0.920374; 0.0837636; 0.9817; 0.0756831
7.424; 0.920313; 0.0840157; 0.976007; 0.0754655
7.488; 0.921048; 0.0842689; 0.982918; 0.0762899
7.552; 0.922637; 0.0845057; 0.939057; 0.0732165
7.616; 0.920895; 0.0847545; 1.00192; 0.0781998
7.68; 0.920125; 0.0850034; 1.02671; 0.0803031
7.744; 0.915816; 0.0852425; 1.0089; 0.078761
7.808; 0.923603; 0.0854324; 0.776408; 0.061263
7.872; 0.922968; 0.0856674; 0.976245; 0.07719
7.936; 0.921298; 0.0859195; 1.02685; 0.0812828
8; 0.920211; 0.0861703; 1.02628; 0.0813791
8.064; 0.919325; 0.0864178; 1.02414; 0.0813638
8.128; 0.917718; 0.0866609; 1.02284; 0.0813466
8.192; 0.923766; 0.0868273; 0.746257; 0.0598558
8.256; 0.923124; 0.0870679; 0.980235; 0.0787858
8.32; 0.923242; 0.0873276; 1.02938; 0.0829934
8.384; 0.92306; 0.0875862; 1.02732; 0.0830564
8.448; 0.922459; 0.0876727; 0.712399; 0.0576149
8.512; 0.922114; 0.087906; 0.980244; 0.0794579
8.576; 0.923476; 0.088159; 1.02089; 0.0831134
8.64; 0.923502; 0.0884181; 1.02851; 0.0839825
8.704; 0.923931; 0.088676; 1.02815; 0.084237
