time; distance; velocity towards goal direction; overall
0; 0.256184; 0; 0
0.064; 0.25581; 0.865818; 0.221485
0.128; 0.256004; 0.447901; 0.114664
0.192; 0.255883; 0.278449; 0.0712505
0.256; 0.255984; 0.233559; 0.0597873
0.32; 0.256242; 0.59762; 0.153135
0.384; 0.256634; 0.905586; 0.232404
0.448; 0.256969; 0.773906; 0.19887
0.512; 0.257326; 0.817965; 0.210483
0.576; 0.257778; 1.03953; 0.267968
0.64; 0.258232; 1.03996; 0.268551
0.704; 0.258688; 1.04122; 0.26935
0.768; 0.259145; 1.04017; 0.269554
0.832; 0.259604; 1.04113; 0.270281
0.896; 0.260065; 1.04138; 0.270827
0.96; 0.260525; 1.03525; 0.269709
1.024; 0.260987; 1.03712; 0.270675
1.088; 0.26145; 1.03669; 0.271044
1.152; 0.261788; 0.754731; 0.197579
1.216; 0.26223; 0.984787; 0.258241
1.28; 0.262696; 1.03372; 0.271554
1.344; 0.263092; 0.879332; 0.231346
1.408; 0.263253; 0.370282; 0.0974779
1.472; 0.263679; 0.940469; 0.247982
1.536; 0.264047; 0.81074; 0.214074
1.6; 0.264384; 0.74343; 0.196551
1.664; 0.264846; 1.01398; 0.268549
1.728; 0.265324; 1.04568; 0.277445
1.792; 0.265797; 1.02966; 0.27368
1.856; 0.266269; 1.02731; 0.27354
1.92; 0.26675; 1.04164; 0.277858
1.984; 0.267233; 1.04222; 0.278515
2.048; 0.267718; 1.04135; 0.278788
2.112; 0.268204; 1.04234; 0.279561
2.176; 0.268597; 0.844227; 0.226756
2.24; 0.269085; 1.04408; 0.280945
2.304; 0.269574; 1.04234; 0.280989
2.368; 0.270066; 1.04252; 0.281549
2.432; 0.270559; 1.04379; 0.282407
2.496; 0.271054; 1.04154; 0.282313
2.56; 0.271552; 1.04572; 0.283967
2.624; 0.272051; 1.04422; 0.284082
2.688; 0.272551; 1.04117; 0.283771
2.752; 0.272887; 0.711023; 0.194029
2.816; 0.273365; 0.99168; 0.27109
2.88; 0.273869; 1.04039; 0.284931
2.944; 0.274375; 1.0409; 0.285596
3.008; 0.274883; 1.04177; 0.286364
3.072; 0.275395; 1.04554; 0.287935
3.136; 0.275906; 1.04008; 0.286963
3.2; 0.27642; 1.0429; 0.28828
3.264; 0.276938; 1.04444; 0.289245
3.328; 0.277456; 1.04175; 0.28904
3.392; 0.277976; 1.04231; 0.289736
3.456; 0.278497; 1.04098; 0.28991
3.52; 0.279021; 1.04297; 0.29101
3.584; 0.279547; 1.04217; 0.291337
3.648; 0.280076; 1.04358; 0.292282
3.712; 0.280607; 1.04199; 0.292389
