time; orientation; distance; velocity towards goal direction; overall
0; 0.999898; 0.68444; 0; 0
0.064; 0.999891; 0.68444; 0.746628; 0.510967
0.128; 0.999885; 0.684324; 0.236948; 0.16213
0.192; 0.99989; 0.684418; 0.159892; 0.109421
0.256; 0.999896; 0.685612; 0.402028; 0.275607
0.32; 0.99989; 0.6866; 0.19885; 0.136515
0.384; 0.976969; 0.689313; 0.28748; 0.1936
0.448; 0.963527; 0.690724; 0.454933; 0.302772
0.512; 0.936189; 0.6936; 0.273253; 0.177434
0.576; 0.927222; 0.694676; 0.604979; 0.389678
0.64; 0.904842; 0.695125; 0.554318; 0.348654
0.704; 0.904504; 0.694647; 0.711416; 0.44699
0.768; 0.875891; 0.694611; 0.612597; 0.372706
0.832; 0.878612; 0.69399; 0.67839; 0.413647
0.896; 0.907717; 0.69409; 0.589566; 0.371449
0.96; 0.906955; 0.69525; 0.47142; 0.297259
1.024; 0.909814; 0.695337; 0.650061; 0.411246
1.088; 0.912949; 0.695373; 0.670167; 0.425449
1.152; 0.916292; 0.695287; 0.681183; 0.433972
1.216; 0.935017; 0.695726; 0.610252; 0.396978
1.28; 0.932664; 0.696114; 0.650023; 0.422021
1.344; 0.947536; 0.696505; 0.651312; 0.429842
1.408; 0.964276; 0.696975; 0.636424; 0.427725
1.472; 0.977313; 0.697599; 0.644333; 0.439289
1.536; 0.976102; 0.698189; 0.661886; 0.451078
1.6; 0.977254; 0.69872; 0.702556; 0.479724
1.664; 0.976541; 0.699167; 0.711931; 0.486082
1.728; 0.973791; 0.699589; 0.71266; 0.485502
1.792; 0.97132; 0.699849; 0.722754; 0.491312
1.856; 0.968356; 0.700152; 0.720365; 0.488405
1.92; 0.965026; 0.700468; 0.722915; 0.488669
1.984; 0.970571; 0.70075; 0.69109; 0.47003
2.048; 0.967838; 0.700494; 0.720448; 0.488438
2.112; 0.972554; 0.700461; 0.701258; 0.477722
2.176; 0.969877; 0.700273; 0.72125; 0.489858
2.24; 0.968705; 0.700078; 0.730619; 0.495483
2.304; 0.973123; 0.699421; 0.683876; 0.465462
2.368; 0.985097; 0.699146; 0.672395; 0.463096
2.432; 0.98675; 0.698972; 0.664263; 0.458149
2.496; 0.989372; 0.698841; 0.698365; 0.482859
2.56; 0.984465; 0.698429; 0.712998; 0.490242
2.624; 0.978995; 0.698006; 0.713208; 0.487367
2.688; 0.973862; 0.697624; 0.722717; 0.491006
2.752; 0.972676; 0.697247; 0.728827; 0.494287
2.816; 0.985182; 0.697088; 0.68037; 0.467251
2.88; 0.987379; 0.697158; 0.675085; 0.464701
2.944; 0.992919; 0.697112; 0.705146; 0.488085
3.008; 0.991267; 0.6969; 0.718861; 0.496599
3.072; 0.988647; 0.696768; 0.716309; 0.493435
3.136; 0.985246; 0.696634; 0.726725; 0.498792
3.2; 0.981875; 0.696458; 0.728553; 0.49821
3.264; 0.979229; 0.696381; 0.737526; 0.502932
3.328; 0.976333; 0.695879; 0.735075; 0.499417
3.392; 0.98424; 0.695432; 0.69949; 0.478781
3.456; 0.984465; 0.694434; 0.692468; 0.473403
3.52; 0.990636; 0.693822; 0.685299; 0.471023
3.584; 0.98441; 0.693079; 0.707353; 0.482608
3.648; 0.981887; 0.692345; 0.739724; 0.502868
3.712; 0.989827; 0.691774; 0.69619; 0.476707
3.776; 0.990154; 0.691076; 0.712907; 0.487821
3.84; 0.989065; 0.690269; 0.727901; 0.496954
3.904; 0.986865; 0.689541; 0.734043; 0.499505
3.968; 0.991298; 0.689124; 0.69663; 0.475886
4.032; 0.989847; 0.688538; 0.720936; 0.491352
4.096; 0.9878; 0.687893; 0.736665; 0.500564
4.16; 0.985572; 0.687422; 0.739853; 0.501253
4.224; 0.985885; 0.68652; 0.706241; 0.478005
4.288; 0.992407; 0.686054; 0.684236; 0.465859
4.352; 0.984707; 0.68548; 0.711756; 0.480433
4.416; 0.982933; 0.684926; 0.740836; 0.498757
4.48; 0.982874; 0.684238; 0.731105; 0.491682
4.544; 0.992608; 0.683922; 0.691028; 0.469116
4.608; 0.991874; 0.683392; 0.722266; 0.48958
4.672; 0.990619; 0.682948; 0.736837; 0.498501
4.736; 0.991795; 0.682727; 0.701631; 0.475091
4.8; 0.992791; 0.682366; 0.722448; 0.48942
4.864; 0.991088; 0.68191; 0.73586; 0.497319
4.928; 0.988203; 0.681498; 0.735755; 0.4955
4.992; 0.985434; 0.681043; 0.735846; 0.493844
5.056; 0.986383; 0.680221; 0.707531; 0.474724
5.12; 0.984131; 0.679814; 0.748212; 0.500574
5.184; 0.994338; 0.67962; 0.692389; 0.467897
5.248; 0.98828; 0.678912; 0.70485; 0.472922
5.312; 0.986426; 0.67842; 0.738973; 0.494528
5.376; 0.992532; 0.678176; 0.689522; 0.464125
5.44; 0.99499; 0.677737; 0.72106; 0.486241
5.504; 0.992215; 0.677327; 0.732416; 0.492223
5.568; 0.988829; 0.676817; 0.729908; 0.488495
5.632; 0.987586; 0.675994; 0.705749; 0.47116
5.696; 0.985846; 0.675548; 0.746927; 0.497444
5.76; 0.994823; 0.675333; 0.689687; 0.463357
5.824; 0.993356; 0.674833; 0.722761; 0.484502
5.888; 0.990439; 0.674318; 0.731722; 0.488696
5.952; 0.988057; 0.673463; 0.706985; 0.470442
6.016; 0.993131; 0.67332; 0.699875; 0.468003
6.08; 0.994763; 0.672901; 0.722635; 0.483715
6.144; 0.993528; 0.672307; 0.73142; 0.488556
6.208; 0.99028; 0.671855; 0.732138; 0.487109
6.272; 0.988332; 0.671127; 0.709899; 0.470874
6.336; 0.98613; 0.670683; 0.739208; 0.488897
6.4; 0.995564; 0.670534; 0.683203; 0.456079
6.464; 0.993895; 0.670116; 0.725185; 0.482991
6.528; 0.990634; 0.669632; 0.732386; 0.485836
6.592; 0.989018; 0.668908; 0.705687; 0.466856
6.656; 0.987157; 0.668508; 0.741001; 0.489003
