time; orientation; distance; velocity towards goal direction; overall
0; 0.999898; 0.68444; 0; 0
0.064; 0.999899; 0.68444; 0.0163719; 0.0112044
0.128; 0.982657; 0.684403; 0.642583; 0.432158
0.192; 0.973311; 0.684126; 0.714035; 0.475453
0.256; 0.96289; 0.683808; 0.702087; 0.462277
0.32; 0.95447; 0.68342; 0.709388; 0.462737
0.384; 0.965383; 0.683115; 0.679286; 0.447968
0.448; 0.987852; 0.683017; 0.619864; 0.418234
0.512; 0.958372; 0.683025; 0.589343; 0.385779
0.576; 0.956648; 0.682487; 0.732454; 0.478219
0.64; 0.951675; 0.682014; 0.713548; 0.463133
0.704; 0.963398; 0.681679; 0.683071; 0.448592
0.768; 0.978165; 0.68152; 0.666543; 0.444343
0.832; 0.985567; 0.681408; 0.667781; 0.448464
0.896; 0.982357; 0.681207; 0.699723; 0.468247
0.96; 0.978034; 0.680914; 0.728547; 0.485181
1.024; 0.973611; 0.680587; 0.724459; 0.480046
1.088; 0.970205; 0.680217; 0.733431; 0.484028
1.152; 0.979289; 0.680008; 0.706698; 0.470607
1.216; 0.988548; 0.679901; 0.690947; 0.464396
1.28; 0.982361; 0.67973; 0.714169; 0.476879
1.344; 0.978729; 0.679438; 0.73853; 0.491112
1.408; 0.974533; 0.679121; 0.73291; 0.485059
1.472; 0.98293; 0.678943; 0.713565; 0.4762
1.536; 0.987793; 0.678843; 0.692611; 0.464435
1.6; 0.986463; 0.678661; 0.723256; 0.484201
1.664; 0.982449; 0.678393; 0.733894; 0.48913
1.728; 0.978124; 0.678114; 0.731779; 0.485374
1.792; 0.975529; 0.677796; 0.742012; 0.490625
1.856; 0.984579; 0.677651; 0.712384; 0.475303
1.92; 0.979923; 0.677426; 0.730918; 0.485202
1.984; 0.976866; 0.677096; 0.747894; 0.494681
2.048; 0.985517; 0.676927; 0.708512; 0.472665
2.112; 0.981038; 0.676685; 0.733006; 0.486609
2.176; 0.978566; 0.67636; 0.744247; 0.492589
2.24; 0.985749; 0.676222; 0.709361; 0.472849
2.304; 0.983; 0.675941; 0.732708; 0.486848
2.368; 0.980608; 0.675616; 0.744038; 0.492935
2.432; 0.986634; 0.675513; 0.707496; 0.471535
2.496; 0.984639; 0.675278; 0.733733; 0.487862
2.56; 0.982591; 0.674959; 0.744405; 0.493696
2.624; 0.980053; 0.674657; 0.745754; 0.493092
2.688; 0.978921; 0.674336; 0.743658; 0.490905
2.752; 0.98803; 0.674278; 0.707275; 0.471192
2.816; 0.984725; 0.674051; 0.740364; 0.491421
2.88; 0.982732; 0.673767; 0.74437; 0.492872
2.944; 0.989489; 0.673711; 0.708081; 0.472028
3.008; 0.988441; 0.673503; 0.729753; 0.48581
3.072; 0.986958; 0.673253; 0.743094; 0.493766
3.136; 0.98463; 0.672995; 0.742985; 0.492339
3.2; 0.982903; 0.672748; 0.750008; 0.495941
