time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.682441; 0; 0
0.064; 1; 0.682441; 0.74662; 0.509524
0.128; 0.999985; 0.682454; 0.518296; 0.353708
0.192; 0.999996; 0.683148; 0.479811; 0.327781
0.256; 0.999985; 0.684645; 0.198807; 0.13611
0.32; 0.999983; 0.688202; 0.402147; 0.276754
0.384; 0.976989; 0.692438; 0.358599; 0.242594
0.448; 0.976935; 0.693213; 0.719821; 0.48748
0.512; 0.957312; 0.697132; 0.598729; 0.399575
0.576; 0.953743; 0.697508; 0.709046; 0.471688
0.64; 0.951659; 0.700047; 0.559618; 0.372821
0.704; 0.953638; 0.703052; 0.615177; 0.412449
0.768; 0.957728; 0.705189; 0.615434; 0.415651
0.832; 0.961738; 0.707008; 0.621485; 0.422583
0.896; 0.966284; 0.708814; 0.630834; 0.432068
0.96; 0.970884; 0.710574; 0.672851; 0.46419
1.024; 0.973539; 0.712599; 0.641664; 0.44515
1.088; 0.976499; 0.714742; 0.66182; 0.461914
1.152; 0.978981; 0.717; 0.665489; 0.467127
1.216; 0.980989; 0.719007; 0.667107; 0.470536
1.28; 0.983118; 0.720055; 0.671768; 0.475544
1.344; 0.985644; 0.720257; 0.671581; 0.476766
1.408; 0.987812; 0.720531; 0.678865; 0.483181
1.472; 0.988566; 0.721007; 0.678628; 0.483701
1.536; 0.989965; 0.721241; 0.677738; 0.483908
1.6; 0.991525; 0.721555; 0.687195; 0.491646
1.664; 0.991871; 0.721931; 0.689533; 0.493748
1.728; 0.99182; 0.722398; 0.686455; 0.491837
1.792; 0.991967; 0.722864; 0.688364; 0.493597
1.856; 0.992321; 0.723315; 0.694063; 0.498171
1.92; 0.992808; 0.723647; 0.69069; 0.496221
1.984; 0.992611; 0.724179; 0.6952; 0.499729
2.048; 0.992777; 0.724638; 0.696604; 0.501139
2.112; 0.99355; 0.725084; 0.691621; 0.498249
2.176; 0.993594; 0.725495; 0.699329; 0.504109
2.24; 0.993703; 0.726138; 0.687147; 0.495821
2.304; 0.993333; 0.726724; 0.688358; 0.496911
2.368; 0.99268; 0.72741; 0.691541; 0.499352
2.432; 0.991775; 0.727955; 0.691308; 0.499102
2.496; 0.990323; 0.728662; 0.695667; 0.502001
2.56; 0.988754; 0.729411; 0.691413; 0.498653
2.624; 0.987661; 0.729564; 0.69854; 0.503341
2.688; 0.987049; 0.729627; 0.70029; 0.504333
2.752; 0.986159; 0.729675; 0.700738; 0.504234
2.816; 0.985413; 0.729799; 0.700367; 0.503671
2.88; 0.98556; 0.729955; 0.706314; 0.508133
2.944; 0.985748; 0.730073; 0.709522; 0.51062
3.008; 0.985764; 0.730181; 0.707436; 0.509203
3.072; 0.985734; 0.730234; 0.708442; 0.509948
3.136; 0.985578; 0.730347; 0.708039; 0.509657
3.2; 0.986118; 0.730565; 0.706341; 0.508865
3.264; 0.986083; 0.730741; 0.706462; 0.509057
3.328; 0.986772; 0.730897; 0.707808; 0.510491
3.392; 0.987157; 0.731064; 0.710548; 0.512785
3.456; 0.987575; 0.731184; 0.709367; 0.512233
3.52; 0.988216; 0.731299; 0.712293; 0.514761
3.584; 0.988693; 0.731431; 0.709429; 0.513031
3.648; 0.989502; 0.731588; 0.710562; 0.514382
3.712; 0.989878; 0.731655; 0.712478; 0.516012
3.776; 0.990774; 0.731792; 0.706908; 0.512537
3.84; 0.991845; 0.731863; 0.706047; 0.512515
3.904; 0.992539; 0.731927; 0.709896; 0.515716
3.968; 0.992795; 0.73194; 0.712703; 0.517897
4.032; 0.993007; 0.731967; 0.707209; 0.514034
4.096; 0.993013; 0.732046; 0.711619; 0.517298
4.16; 0.993304; 0.732124; 0.711112; 0.517137
4.224; 0.993263; 0.732199; 0.711126; 0.517178
4.288; 0.99371; 0.732209; 0.710228; 0.516764
4.352; 0.994382; 0.732226; 0.713737; 0.519681
4.416; 0.994935; 0.732206; 0.713853; 0.52004
4.48; 0.995116; 0.732156; 0.715159; 0.521051
4.544; 0.995033; 0.731784; 0.713264; 0.519362
4.608; 0.995155; 0.731149; 0.710479; 0.516949
4.672; 0.99501; 0.730494; 0.711961; 0.517488
4.736; 0.995387; 0.729842; 0.713073; 0.51803
4.8; 0.992725; 0.729424; 0.689385; 0.499196
4.864; 0.992665; 0.72887; 0.715008; 0.517325
4.928; 0.988725; 0.728543; 0.691093; 0.497815
4.992; 0.989893; 0.72809; 0.712219; 0.513318
5.056; 0.991783; 0.72762; 0.706419; 0.509781
5.12; 0.993136; 0.727094; 0.708634; 0.511707
5.184; 0.994444; 0.726529; 0.708251; 0.511706
5.248; 0.995549; 0.725925; 0.709858; 0.51301
5.312; 0.996692; 0.725312; 0.70907; 0.512596
5.376; 0.991965; 0.724898; 0.6903; 0.496376
5.44; 0.992216; 0.724353; 0.712758; 0.51227
5.504; 0.994003; 0.723844; 0.704701; 0.507035
5.568; 0.99557; 0.723293; 0.704351; 0.507195
5.632; 0.990556; 0.722939; 0.684853; 0.490431
5.696; 0.991093; 0.722423; 0.71073; 0.508874
5.76; 0.993457; 0.721955; 0.70175; 0.503317
5.824; 0.995501; 0.721416; 0.702132; 0.504251
5.888; 0.997068; 0.720835; 0.702294; 0.504754
5.952; 0.99626; 0.72017; 0.702491; 0.504021
6.016; 0.993835; 0.719797; 0.684891; 0.489943
6.08; 0.994139; 0.719193; 0.71288; 0.509693
6.144; 0.989115; 0.718846; 0.686196; 0.4879
6.208; 0.990413; 0.718341; 0.701831; 0.499321
6.272; 0.993271; 0.717887; 0.699651; 0.498891
6.336; 0.99595; 0.717362; 0.695357; 0.496803
6.4; 0.996622; 0.716736; 0.698004; 0.498595
6.464; 0.995828; 0.716029; 0.703378; 0.501539
6.528; 0.99453; 0.715339; 0.70078; 0.498553
6.592; 0.990489; 0.715279; 0.648828; 0.459679
6.656; 0.980297; 0.715374; 0.652463; 0.457559
6.72; 0.982083; 0.715134; 0.696937; 0.489473
6.784; 0.986182; 0.714932; 0.683606; 0.481979
6.848; 0.990733; 0.714657; 0.682577; 0.483288
6.912; 0.992434; 0.714201; 0.685838; 0.48612
6.976; 0.992743; 0.713692; 0.690508; 0.489234
7.04; 0.992305; 0.713405; 0.666765; 0.472013
7.104; 0.993785; 0.712852; 0.698489; 0.494824
7.168; 0.983179; 0.712925; 0.649495; 0.455252
7.232; 0.984676; 0.712587; 0.697964; 0.489739
7.296; 0.989282; 0.712343; 0.679884; 0.479119
7.36; 0.993979; 0.711979; 0.680086; 0.481291
7.424; 0.987987; 0.711818; 0.660046; 0.464188
7.488; 0.987785; 0.711327; 0.685167; 0.481424
7.552; 0.990456; 0.7112; 0.655164; 0.461506
7.616; 0.986442; 0.711061; 0.653369; 0.458286
7.68; 0.990512; 0.710684; 0.682646; 0.480543
7.744; 0.988087; 0.710605; 0.65261; 0.458223
7.808; 0.991564; 0.710189; 0.679011; 0.478158
7.872; 0.992564; 0.709726; 0.675976; 0.47619
7.936; 0.992837; 0.709134; 0.677532; 0.47702
8; 0.988657; 0.709092; 0.634754; 0.444993
8.064; 0.983265; 0.708906; 0.65959; 0.459762
8.128; 0.97953; 0.708875; 0.656148; 0.455605
8.192; 0.984972; 0.708707; 0.669225; 0.467157
8.256; 0.990511; 0.708502; 0.664251; 0.466157
8.32; 0.993028; 0.708123; 0.666312; 0.468541
8.384; 0.992989; 0.707517; 0.669152; 0.470117
8.448; 0.996643; 0.707166; 0.6461; 0.455367
8.512; 0.988863; 0.706892; 0.646118; 0.451649
8.576; 0.987555; 0.706745; 0.650328; 0.453897
8.64; 0.984944; 0.706741; 0.640702; 0.445993
8.704; 0.989717; 0.706479; 0.663716; 0.46408
8.768; 0.991904; 0.706132; 0.660867; 0.462881
8.832; 0.991094; 0.705556; 0.663513; 0.463976
8.896; 0.996848; 0.70524; 0.639119; 0.449312
8.96; 0.985419; 0.705284; 0.612663; 0.425801
9.024; 0.972691; 0.705532; 0.623587; 0.427945
9.088; 0.97756; 0.705435; 0.664838; 0.458476
9.152; 0.986452; 0.70535; 0.642814; 0.447266
9.216; 0.994687; 0.705082; 0.645202; 0.452503
9.28; 0.995546; 0.704596; 0.65353; 0.458423
9.344; 0.990588; 0.704264; 0.632335; 0.441139
9.408; 0.988346; 0.703545; 0.668532; 0.464861
9.472; 0.982917; 0.703179; 0.636567; 0.439974
9.536; 0.988962; 0.702971; 0.633005; 0.440073
9.6; 0.980517; 0.70321; 0.603713; 0.416265
9.664; 0.97577; 0.703254; 0.633424; 0.434665
9.728; 0.983313; 0.703171; 0.646284; 0.446865
9.792; 0.991754; 0.703004; 0.63778; 0.444665
9.856; 0.995362; 0.702587; 0.643813; 0.450237
9.92; 0.989391; 0.701943; 0.649647; 0.451177
9.984; 0.990776; 0.701589; 0.624471; 0.434081
10.048; 0.988578; 0.701678; 0.598047; 0.414843
10.112; 0.973919; 0.701922; 0.601645; 0.411294
10.176; 0.979666; 0.701787; 0.650597; 0.447297
10.24; 0.989249; 0.701692; 0.63269; 0.439181
10.304; 0.995372; 0.701268; 0.643485; 0.449167
10.368; 0.993759; 0.70079; 0.657929; 0.458192
10.432; 0.981109; 0.700732; 0.609807; 0.419239
10.496; 0.978604; 0.70008; 0.668703; 0.458129
