time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.682441; 0; 0
0.064; 1; 0.682441; 0.746619; 0.509523
0.128; 0.999984; 0.682075; 0.0444805; 0.0303386
0.192; 0.99999; 0.682096; 0.159927; 0.109084
0.256; 0.999983; 0.683633; 0.120947; 0.0826818
0.32; 0.999986; 0.686641; 0.440932; 0.302758
0.384; 0.976826; 0.689945; 0.359167; 0.242063
0.448; 0.965995; 0.692671; 0.517654; 0.346371
0.512; 0.893341; 0.697233; 0.32102; 0.199952
0.576; 0.894273; 0.70097; 0.438464; 0.274855
0.64; 0.867765; 0.705232; 0.575227; 0.352025
0.704; 0.874338; 0.707071; 0.732274; 0.452706
0.768; 0.847677; 0.711142; 0.619496; 0.373443
0.832; 0.852536; 0.713397; 0.725515; 0.441256
0.896; 0.873387; 0.717568; 0.618352; 0.38753
0.96; 0.855674; 0.722383; 0.565571; 0.349593
1.024; 0.848594; 0.726579; 0.544269; 0.33558
1.088; 0.877531; 0.728142; 0.617057; 0.394279
1.152; 0.907812; 0.728292; 0.584846; 0.386672
1.216; 0.931453; 0.726977; 0.609771; 0.412904
1.28; 0.948491; 0.725765; 0.635342; 0.437358
1.344; 0.958661; 0.724597; 0.65366; 0.45406
1.408; 0.962108; 0.723466; 0.666042; 0.463601
1.472; 0.961732; 0.722299; 0.672338; 0.467045
1.536; 0.957354; 0.721049; 0.682698; 0.471265
1.6; 0.95973; 0.71978; 0.696673; 0.481258
1.664; 0.96254; 0.718567; 0.697714; 0.482574
1.728; 0.963419; 0.717334; 0.703775; 0.486374
1.792; 0.970063; 0.716357; 0.679398; 0.472122
1.856; 0.97609; 0.715575; 0.671756; 0.469198
1.92; 0.981304; 0.714805; 0.675957; 0.474143
1.984; 0.980569; 0.713946; 0.676075; 0.473302
2.048; 0.976757; 0.713011; 0.690676; 0.481013
2.112; 0.97344; 0.712014; 0.703623; 0.487683
2.176; 0.967838; 0.711062; 0.708007; 0.487245
2.24; 0.972182; 0.710528; 0.677508; 0.467997
2.304; 0.975197; 0.709803; 0.687528; 0.475905
2.368; 0.976333; 0.709021; 0.69242; 0.479321
2.432; 0.975723; 0.708272; 0.705636; 0.487649
2.496; 0.98137; 0.707724; 0.669365; 0.4649
2.56; 0.978493; 0.70706; 0.685101; 0.473989
2.624; 0.972112; 0.706254; 0.693791; 0.476328
2.688; 0.965518; 0.705343; 0.702225; 0.47823
2.752; 0.973171; 0.70446; 0.695565; 0.476852
2.816; 0.981394; 0.703818; 0.683602; 0.472179
2.88; 0.987879; 0.703063; 0.692028; 0.480642
2.944; 0.986315; 0.70228; 0.699089; 0.484238
3.008; 0.981172; 0.701518; 0.704313; 0.484786
3.072; 0.976376; 0.700701; 0.707054; 0.483729
3.136; 0.971003; 0.699897; 0.710087; 0.482576
3.2; 0.976587; 0.699408; 0.682835; 0.466399
3.264; 0.97694; 0.698697; 0.700169; 0.477925
3.328; 0.984198; 0.698474; 0.676028; 0.464727
3.392; 0.981406; 0.697981; 0.690145; 0.472752
3.456; 0.976524; 0.697385; 0.68859; 0.468939
3.52; 0.969248; 0.696668; 0.698021; 0.471335
3.584; 0.970247; 0.695955; 0.696494; 0.470307
3.648; 0.979572; 0.695368; 0.691672; 0.471142
3.712; 0.987901; 0.694894; 0.693808; 0.47629
3.776; 0.990357; 0.694272; 0.700263; 0.481485
3.84; 0.986076; 0.693668; 0.707496; 0.483934
3.904; 0.981225; 0.693023; 0.712207; 0.484308
3.968; 0.976167; 0.692361; 0.715437; 0.483535
4.032; 0.971316; 0.691703; 0.718695; 0.482864
4.096; 0.976728; 0.691357; 0.691036; 0.466635
4.16; 0.986857; 0.691302; 0.675756; 0.461012
4.224; 0.988194; 0.691098; 0.683542; 0.466817
4.288; 0.98142; 0.690676; 0.687008; 0.465684
4.352; 0.972948; 0.690181; 0.69989; 0.469983
4.416; 0.965754; 0.689539; 0.70506; 0.469518
4.48; 0.974261; 0.689019; 0.696671; 0.467665
4.544; 0.98384; 0.688601; 0.689836; 0.467345
4.608; 0.989089; 0.688214; 0.700785; 0.477028
4.672; 0.988678; 0.687759; 0.707163; 0.480851
4.736; 0.984918; 0.687142; 0.706885; 0.478405
4.8; 0.979246; 0.68648; 0.712091; 0.478691
