time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.682441; 0; 0
0.064; 1; 0.682441; 0.74662; 0.509524
0.128; 0.999985; 0.682454; 0.518296; 0.353708
0.192; 0.999996; 0.683148; 0.479811; 0.327781
0.256; 0.999985; 0.684645; 0.198807; 0.13611
0.32; 0.999983; 0.688202; 0.402147; 0.276754
0.384; 0.983466; 0.693567; 0.289995; 0.197806
0.448; 0.982606; 0.694053; 0.739424; 0.504273
0.512; 0.971376; 0.698618; 0.572936; 0.388806
0.576; 0.971413; 0.69917; 0.758382; 0.51508
0.64; 0.971402; 0.698834; 0.796503; 0.540705
0.704; 0.971391; 0.698498; 0.796419; 0.540382
0.768; 0.971384; 0.698163; 0.796423; 0.540122
0.832; 0.971381; 0.69783; 0.796437; 0.539872
0.896; 0.97138; 0.697501; 0.796449; 0.539625
0.96; 0.972234; 0.69729; 0.791889; 0.536844
1.024; 0.972237; 0.696979; 0.796661; 0.539841
1.088; 0.972238; 0.696675; 0.796651; 0.539598
1.152; 0.972238; 0.696376; 0.79665; 0.539367
1.216; 0.97224; 0.696085; 0.796649; 0.539141
1.28; 0.972242; 0.695801; 0.796649; 0.538923
1.344; 0.972243; 0.695524; 0.796651; 0.53871
1.408; 0.972891; 0.695341; 0.79317; 0.536572
1.472; 0.973811; 0.695207; 0.791859; 0.536089
1.536; 0.973809; 0.694964; 0.796995; 0.539375
1.6; 0.973803; 0.694728; 0.79698; 0.539179
1.664; 0.973799; 0.694499; 0.796981; 0.539
1.728; 0.974355; 0.694353; 0.793962; 0.537152
1.792; 0.974356; 0.694142; 0.797095; 0.539109
1.856; 0.974355; 0.693939; 0.797094; 0.538949
1.92; 0.974353; 0.693744; 0.797091; 0.538795
1.984; 0.974352; 0.693556; 0.797087; 0.538645
2.048; 0.974352; 0.693376; 0.797085; 0.538505
2.112; 0.974353; 0.693204; 0.797094; 0.538378
2.176; 0.97486; 0.693109; 0.794373; 0.536746
2.24; 0.974863; 0.692272; 0.797201; 0.538008
2.304; 0.974864; 0.691117; 0.797198; 0.537109
2.368; 0.974866; 0.689972; 0.797199; 0.53622
2.432; 0.977103; 0.689153; 0.785131; 0.528687
2.496; 0.977111; 0.688127; 0.797637; 0.536312
2.56; 0.977109; 0.687107; 0.797621; 0.535505
2.624; 0.977104; 0.686093; 0.797619; 0.534711
2.688; 0.978453; 0.685278; 0.790305; 0.529909
2.752; 0.978453; 0.684339; 0.797868; 0.534248
2.816; 0.978446; 0.683406; 0.797855; 0.533507
2.88; 0.978441; 0.68248; 0.797845; 0.532774
2.944; 0.978438; 0.681561; 0.797845; 0.532055
3.008; 0.979122; 0.680747; 0.79413; 0.529315
3.072; 0.979122; 0.679872; 0.79797; 0.531191
3.136; 0.979121; 0.679004; 0.797967; 0.53051
3.2; 0.978418; 0.678173; 0.794052; 0.526882
3.264; 0.976665; 0.677384; 0.788218; 0.521468
3.328; 0.976661; 0.676498; 0.797829; 0.527133
3.392; 0.976666; 0.67562; 0.797836; 0.526456
3.456; 0.977106; 0.674814; 0.795493; 0.52452
3.52; 0.977111; 0.67397; 0.797921; 0.525466
3.584; 0.977908; 0.673249; 0.793608; 0.522492
3.648; 0.978111; 0.67248; 0.796977; 0.52422
3.712; 0.981266; 0.672146; 0.780916; 0.515056
3.776; 0.981275; 0.67149; 0.798555; 0.526181
3.84; 0.985231; 0.671385; 0.776867; 0.513873
3.904; 0.985234; 0.670885; 0.799019; 0.528134
3.968; 0.985223; 0.670383; 0.799003; 0.527723
4.032; 0.983647; 0.669954; 0.790287; 0.520798
4.096; 0.981645; 0.669586; 0.784245; 0.515481
4.16; 0.97973; 0.669138; 0.788168; 0.516703
4.224; 0.978558; 0.668746; 0.785346; 0.513936
4.288; 0.978562; 0.668177; 0.79853; 0.522121
4.352; 0.980659; 0.667895; 0.787072; 0.515514
4.416; 0.980667; 0.667411; 0.798768; 0.5228
4.48; 0.981008; 0.666972; 0.796871; 0.521397
4.544; 0.981006; 0.666502; 0.798783; 0.522278
4.608; 0.986853; 0.666799; 0.766599; 0.504448
4.672; 0.986866; 0.666548; 0.7992; 0.525709
4.736; 0.988499; 0.666499; 0.790122; 0.520559
4.8; 0.988496; 0.666304; 0.799236; 0.526408
4.864; 0.98849; 0.666106; 0.799235; 0.526248
4.928; 0.989961; 0.666098; 0.790767; 0.52144
4.992; 0.989963; 0.665958; 0.799284; 0.526947
5.056; 0.989968; 0.665816; 0.799291; 0.526842
5.12; 0.989972; 0.665674; 0.799283; 0.526726
5.184; 0.989976; 0.665532; 0.799283; 0.526616
5.248; 0.989979; 0.66539; 0.799297; 0.526515
5.312; 0.989981; 0.665249; 0.799283; 0.526394
5.376; 0.989984; 0.665107; 0.79929; 0.526289
5.44; 0.989987; 0.664967; 0.799283; 0.526174
5.504; 0.989989; 0.664826; 0.79929; 0.526069
5.568; 0.989989; 0.664685; 0.799283; 0.525953
5.632; 0.989888; 0.66457; 0.798187; 0.525087
5.696; 0.989885; 0.664438; 0.799302; 0.525714
5.76; 0.989881; 0.664306; 0.799287; 0.525598
5.824; 0.989605; 0.66424; 0.796297; 0.523434
5.888; 0.989601; 0.66413; 0.799291; 0.525312
5.952; 0.988985; 0.664167; 0.792526; 0.520572
6.016; 0.988982; 0.664104; 0.799303; 0.524971
6.08; 0.988982; 0.664039; 0.799309; 0.524924
6.144; 0.988984; 0.663974; 0.799309; 0.524873
6.208; 0.988986; 0.663909; 0.799294; 0.524813
6.272; 0.988989; 0.663845; 0.799323; 0.524784
6.336; 0.988992; 0.663781; 0.799301; 0.52472
6.4; 0.988994; 0.663718; 0.799308; 0.524676
6.464; 0.988997; 0.663655; 0.799316; 0.524633
6.528; 0.988999; 0.663592; 0.799308; 0.52458
6.592; 0.989001; 0.66353; 0.799316; 0.524537
6.656; 0.989004; 0.663468; 0.799301; 0.52448
6.72; 0.988034; 0.663638; 0.788517; 0.517029
6.784; 0.988033; 0.663653; 0.799307; 0.524114
6.848; 0.987836; 0.663712; 0.7971; 0.52261
6.912; 0.987835; 0.66374; 0.799294; 0.524069
6.976; 0.987833; 0.663767; 0.799293; 0.524089
7.04; 0.987829; 0.663795; 0.799308; 0.524119
7.104; 0.987826; 0.663824; 0.799293; 0.52413
7.168; 0.987822; 0.663853; 0.7993; 0.524156
7.232; 0.987432; 0.663972; 0.795; 0.521223
7.296; 0.989645; 0.664196; 0.787053; 0.517344
7.36; 0.98965; 0.664287; 0.799431; 0.525555
7.424; 0.989648; 0.664377; 0.79941; 0.525612
7.488; 0.989098; 0.664614; 0.792117; 0.520712
7.552; 0.990653; 0.664885; 0.789825; 0.520234
7.616; 0.987237; 0.665425; 0.780429; 0.512689
7.68; 0.987232; 0.665727; 0.79927; 0.525302
7.744; 0.986538; 0.666101; 0.795349; 0.522651
7.808; 0.986544; 0.666429; 0.79923; 0.525463
7.872; 0.986553; 0.666756; 0.799221; 0.52572
7.936; 0.986559; 0.667085; 0.799228; 0.525987
8; 0.986799; 0.66745; 0.796649; 0.524704
8.064; 0.986802; 0.667787; 0.799235; 0.526675
8.128; 0.986521; 0.668254; 0.79125; 0.521629
8.192; 0.986517; 0.668633; 0.799196; 0.527164
8.256; 0.987037; 0.669092; 0.793421; 0.52399
8.32; 0.987034; 0.669487; 0.799231; 0.528137
8.384; 0.987308; 0.669926; 0.796126; 0.526576
8.448; 0.987304; 0.670331; 0.799223; 0.528943
8.512; 0.987661; 0.670793; 0.79522; 0.526846
8.576; 0.987658; 0.671212; 0.799234; 0.529834
8.64; 0.988026; 0.671688; 0.795113; 0.527673
8.704; 0.988027; 0.672119; 0.799223; 0.530741
8.768; 0.988027; 0.672552; 0.799216; 0.531079
8.832; 0.988028; 0.672987; 0.799209; 0.531418
8.896; 0.98803; 0.673423; 0.799224; 0.531773
8.96; 0.988805; 0.673998; 0.789327; 0.526049
9.024; 0.9888; 0.674462; 0.799182; 0.532981
9.088; 0.988805; 0.674927; 0.799198; 0.533361
9.152; 0.98881; 0.675393; 0.799184; 0.533723
9.216; 0.988814; 0.67586; 0.799206; 0.53411
9.28; 0.987611; 0.676422; 0.79249; 0.529416
9.344; 0.98761; 0.676909; 0.799159; 0.534255
9.408; 0.987613; 0.677397; 0.799145; 0.534633
9.472; 0.987615; 0.677887; 0.79916; 0.535031
9.536; 0.987616; 0.678378; 0.799168; 0.535425
9.6; 0.98749; 0.678881; 0.798463; 0.53528
9.664; 0.987489; 0.679377; 0.799143; 0.536127
9.728; 0.987487; 0.679875; 0.799158; 0.536529
9.792; 0.987486; 0.680374; 0.799173; 0.536932
9.856; 0.987034; 0.680909; 0.79665; 0.535413
9.92; 0.987032; 0.681418; 0.799135; 0.537484
9.984; 0.987033; 0.681929; 0.799135; 0.537887
10.048; 0.987034; 0.682441; 0.79912; 0.538282
10.112; 0.987033; 0.682955; 0.79915; 0.538706
10.176; 0.986021; 0.683546; 0.793542; 0.53484
10.24; 0.986018; 0.684077; 0.799103; 0.539005
10.304; 0.98602; 0.68461; 0.799074; 0.539406
10.368; 0.986023; 0.685143; 0.799119; 0.539859
10.432; 0.984442; 0.68581; 0.790255; 0.533533
10.496; 0.984441; 0.686421; 0.798939; 0.539876
