time; orientation; distance; velocity towards goal direction; overall
0; 0.999898; 0.68444; 0; 0
0.064; 0.999899; 0.68444; 0.0164301; 0.0112442
0.128; 0.993036; 0.684555; 0.641575; 0.436135
0.192; 0.973975; 0.684631; 0.641228; 0.427579
0.256; 0.943776; 0.684737; 0.5848; 0.377921
0.32; 0.911155; 0.684847; 0.570776; 0.356165
0.384; 0.87886; 0.68498; 0.566477; 0.34102
0.448; 0.844139; 0.685144; 0.56564; 0.327142
0.512; 0.808312; 0.685369; 0.570432; 0.316015
0.576; 0.775251; 0.685631; 0.570121; 0.30304
0.64; 0.74134; 0.68595; 0.569829; 0.289771
0.704; 0.769833; 0.686345; 0.569864; 0.3011
0.768; 0.799635; 0.686801; 0.569285; 0.312646
0.832; 0.831285; 0.687308; 0.573126; 0.327455
0.896; 0.862824; 0.687816; 0.575555; 0.341572
0.96; 0.891604; 0.688343; 0.594899; 0.365107
1.024; 0.912771; 0.688749; 0.627133; 0.39426
1.088; 0.928461; 0.689043; 0.648053; 0.414591
1.152; 0.94091; 0.689156; 0.667769; 0.433003
1.216; 0.95035; 0.689154; 0.681542; 0.446367
1.28; 0.958556; 0.689138; 0.695183; 0.459222
1.344; 0.964775; 0.68906; 0.703473; 0.46766
1.408; 0.969696; 0.688922; 0.709164; 0.473754
1.472; 0.973725; 0.688734; 0.713503; 0.478501
1.536; 0.977416; 0.688501; 0.719532; 0.484211
1.6; 0.980527; 0.688215; 0.726348; 0.49015
1.664; 0.982755; 0.687932; 0.725923; 0.490774
1.728; 0.98335; 0.687604; 0.730414; 0.493874
1.792; 0.984068; 0.687251; 0.732432; 0.495345
1.856; 0.984158; 0.686839; 0.734429; 0.496443
1.92; 0.982825; 0.686432; 0.738769; 0.498405
1.984; 0.980733; 0.685998; 0.737241; 0.496001
2.048; 0.979109; 0.685539; 0.739069; 0.496076
2.112; 0.978615; 0.685081; 0.740772; 0.496636
2.176; 0.977756; 0.6846; 0.741419; 0.496285
2.24; 0.977138; 0.684127; 0.741791; 0.495877
2.304; 0.975932; 0.683672; 0.746413; 0.49802
2.368; 0.974861; 0.683225; 0.743434; 0.495163
2.432; 0.972824; 0.682762; 0.739385; 0.491105
2.496; 0.971632; 0.682295; 0.743; 0.492563
2.56; 0.970966; 0.68183; 0.744863; 0.493124
2.624; 0.970824; 0.681347; 0.744614; 0.492539
2.688; 0.970897; 0.680872; 0.74958; 0.495515
2.752; 0.971085; 0.680432; 0.747486; 0.493907
2.816; 0.970746; 0.679999; 0.74732; 0.493311
2.88; 0.970581; 0.679555; 0.750153; 0.494773
2.944; 0.970228; 0.679123; 0.749282; 0.493705
3.008; 0.969739; 0.678685; 0.751126; 0.494352
3.072; 0.97007; 0.678253; 0.751262; 0.494295
3.136; 0.97016; 0.677828; 0.749149; 0.492641
3.2; 0.970038; 0.677432; 0.751323; 0.493721
3.264; 0.969987; 0.677016; 0.752443; 0.494127
3.328; 0.969432; 0.676617; 0.753854; 0.494478
3.392; 0.969912; 0.676222; 0.754084; 0.494586
3.456; 0.96994; 0.675828; 0.752067; 0.492989
3.52; 0.969967; 0.675451; 0.750103; 0.491441
3.584; 0.970366; 0.675068; 0.752531; 0.492955
3.648; 0.97082; 0.674699; 0.752904; 0.493161
3.712; 0.971512; 0.674369; 0.7507; 0.491827
3.776; 0.971446; 0.674041; 0.752849; 0.492961
3.84; 0.971854; 0.673723; 0.752258; 0.492549
3.904; 0.972044; 0.67341; 0.747142; 0.489068
3.968; 0.972503; 0.673116; 0.749724; 0.490775
4.032; 0.972857; 0.672848; 0.747483; 0.48929
4.096; 0.973026; 0.672567; 0.748857; 0.490071
4.16; 0.972895; 0.672332; 0.749547; 0.490285
4.224; 0.97354; 0.672088; 0.750769; 0.491231
4.288; 0.974971; 0.671867; 0.745917; 0.488614
4.352; 0.974538; 0.671645; 0.748425; 0.489877
4.416; 0.97499; 0.671432; 0.750802; 0.491504
4.48; 0.976256; 0.671261; 0.747779; 0.490036
4.544; 0.976923; 0.671132; 0.750294; 0.491926
4.608; 0.977318; 0.670964; 0.747684; 0.49029
4.672; 0.978226; 0.670789; 0.744142; 0.488293
4.736; 0.978136; 0.670612; 0.745213; 0.488822
4.8; 0.979143; 0.670478; 0.747117; 0.490477
4.864; 0.979171; 0.670304; 0.746096; 0.489694
4.928; 0.979789; 0.670139; 0.746226; 0.489968
4.992; 0.979806; 0.669974; 0.747669; 0.490803
5.056; 0.979911; 0.669833; 0.745803; 0.489528
5.12; 0.981053; 0.669702; 0.743572; 0.488537
5.184; 0.98181; 0.669596; 0.744509; 0.489452
5.248; 0.981311; 0.669458; 0.741963; 0.48743
5.312; 0.981661; 0.669362; 0.748168; 0.491611
5.376; 0.981794; 0.66928; 0.748944; 0.492127
5.44; 0.981946; 0.669217; 0.745084; 0.489621
5.504; 0.98209; 0.669124; 0.74371; 0.488721
5.568; 0.981198; 0.669021; 0.743203; 0.48787
5.632; 0.980671; 0.668934; 0.741442; 0.486389
5.696; 0.974894; 0.669402; 0.68248; 0.445384
5.76; 0.975751; 0.669424; 0.723109; 0.472328
5.824; 0.976454; 0.669264; 0.742457; 0.4852
5.888; 0.976566; 0.66912; 0.736885; 0.48151
5.952; 0.97726; 0.668984; 0.738699; 0.48294
6.016; 0.978347; 0.668828; 0.737146; 0.482348
6.08; 0.977195; 0.66869; 0.736202; 0.481065
6.144; 0.975941; 0.668525; 0.737098; 0.480913
6.208; 0.974983; 0.668387; 0.735713; 0.479439
6.272; 0.974243; 0.668269; 0.734097; 0.477939
6.336; 0.972637; 0.668162; 0.734354; 0.477241
6.4; 0.972209; 0.668078; 0.735912; 0.477983
6.464; 0.97149; 0.667998; 0.736082; 0.477683
6.528; 0.970231; 0.667925; 0.732802; 0.474886
6.592; 0.969229; 0.667884; 0.734617; 0.475542
6.656; 0.968094; 0.667828; 0.732395; 0.473508
6.72; 0.968069; 0.667752; 0.732105; 0.473255
6.784; 0.969228; 0.668129; 0.672297; 0.435359
6.848; 0.969384; 0.668252; 0.715221; 0.463315
6.912; 0.969081; 0.668192; 0.732851; 0.474545
6.976; 0.970124; 0.668144; 0.722771; 0.468488
7.04; 0.9719; 0.668079; 0.718723; 0.466671
7.104; 0.973738; 0.668081; 0.721122; 0.469115
7.168; 0.975275; 0.668094; 0.722109; 0.470509
7.232; 0.975113; 0.66813; 0.718936; 0.468388
7.296; 0.974677; 0.668182; 0.719667; 0.468692
7.36; 0.977861; 0.668666; 0.662565; 0.433226
7.424; 0.978427; 0.668906; 0.709212; 0.464161
7.488; 0.978964; 0.668954; 0.726594; 0.475833
7.552; 0.980086; 0.669004; 0.723549; 0.474417
7.616; 0.979686; 0.669066; 0.724804; 0.475091
7.68; 0.979844; 0.669117; 0.718833; 0.471289
7.744; 0.978952; 0.669198; 0.720901; 0.472271
7.808; 0.978454; 0.66926; 0.722022; 0.472809
7.872; 0.97864; 0.669354; 0.721839; 0.472846
7.936; 0.982289; 0.669861; 0.663469; 0.436561
8; 0.983371; 0.670056; 0.705476; 0.464848
8.064; 0.984601; 0.670126; 0.722042; 0.476408
8.128; 0.985303; 0.670194; 0.724432; 0.478374
8.192; 0.9847; 0.670275; 0.723192; 0.477321
8.256; 0.984497; 0.670357; 0.72563; 0.47889
8.32; 0.984638; 0.67039; 0.721493; 0.476252
8.384; 0.98507; 0.670427; 0.720365; 0.475742
8.448; 0.983257; 0.670306; 0.699265; 0.460874
8.512; 0.982811; 0.67032; 0.723181; 0.47643
8.576; 0.985273; 0.670654; 0.642502; 0.424551
8.64; 0.982511; 0.670678; 0.685528; 0.451728
8.704; 0.983403; 0.670586; 0.716337; 0.472393
8.768; 0.985933; 0.670463; 0.700652; 0.463153
8.832; 0.986922; 0.6704; 0.706589; 0.467503
8.896; 0.986657; 0.670358; 0.710006; 0.469608
8.96; 0.985448; 0.670342; 0.710433; 0.469303
9.024; 0.985029; 0.670339; 0.710832; 0.469365
9.088; 0.986007; 0.670371; 0.711322; 0.470177
9.152; 0.98589; 0.670416; 0.709603; 0.469017
9.216; 0.988786; 0.670735; 0.627991; 0.416492
9.28; 0.986489; 0.670732; 0.671655; 0.444414
9.344; 0.982429; 0.670584; 0.693941; 0.457169
9.408; 0.98348; 0.670511; 0.702105; 0.462992
9.472; 0.984798; 0.670428; 0.694973; 0.458846
9.536; 0.985696; 0.670377; 0.701266; 0.463388
9.6; 0.988265; 0.670473; 0.679887; 0.450496
9.664; 0.989262; 0.670448; 0.696034; 0.461644
9.728; 0.990461; 0.670442; 0.701513; 0.465837
9.792; 0.987968; 0.670821; 0.637824; 0.422717
9.856; 0.990673; 0.670818; 0.656769; 0.436463
9.92; 0.988079; 0.670635; 0.682226; 0.452071
9.984; 0.990119; 0.670571; 0.699238; 0.464256
10.048; 0.991491; 0.670482; 0.693129; 0.460776
10.112; 0.99153; 0.670431; 0.686575; 0.456402
10.176; 0.990637; 0.670409; 0.694362; 0.461148
10.24; 0.985904; 0.670267; 0.668893; 0.442017
10.304; 0.986367; 0.6703; 0.696926; 0.460781
10.368; 0.982161; 0.670141; 0.667525; 0.439356
10.432; 0.988683; 0.670506; 0.626614; 0.415393
10.496; 0.993773; 0.670594; 0.666375; 0.444085
10.56; 0.992467; 0.670408; 0.668423; 0.444741
10.624; 0.99293; 0.670382; 0.692756; 0.461128
10.688; 0.98772; 0.670201; 0.664833; 0.4401
10.752; 0.988373; 0.670172; 0.685156; 0.453834
10.816; 0.989896; 0.670183; 0.679417; 0.450733
10.88; 0.990277; 0.670177; 0.680187; 0.451413
10.944; 0.987137; 0.670035; 0.658592; 0.435603
11.008; 0.987901; 0.670062; 0.689763; 0.456593
11.072; 0.98812; 0.670491; 0.618053; 0.409476
11.136; 0.990508; 0.670483; 0.637806; 0.423579
11.2; 0.986318; 0.670385; 0.663011; 0.438391
11.264; 0.982301; 0.670231; 0.658045; 0.433236
11.328; 0.984625; 0.670153; 0.673369; 0.444323
11.392; 0.987377; 0.670045; 0.668615; 0.442348
11.456; 0.988819; 0.669974; 0.669998; 0.443863
11.52; 0.989065; 0.669969; 0.671934; 0.445252
11.584; 0.988155; 0.670016; 0.67667; 0.44801
11.648; 0.988343; 0.6701; 0.663102; 0.439165
11.712; 0.98704; 0.670376; 0.584835; 0.386979
11.776; 0.989759; 0.670405; 0.632315; 0.419566
11.84; 0.986724; 0.670258; 0.65383; 0.432416
11.904; 0.989094; 0.670204; 0.672702; 0.445931
11.968; 0.991911; 0.670147; 0.663703; 0.441181
12.032; 0.994801; 0.670115; 0.664095; 0.442706
12.096; 0.992561; 0.67013; 0.668478; 0.444635
12.16; 0.991145; 0.669967; 0.639909; 0.424922
12.224; 0.991362; 0.669997; 0.673004; 0.447016
12.288; 0.987027; 0.669824; 0.637466; 0.421451
12.352; 0.98833; 0.67023; 0.604939; 0.400717
12.416; 0.989661; 0.670193; 0.616731; 0.409056
12.48; 0.9938; 0.670167; 0.668098; 0.444962
12.544; 0.991587; 0.669976; 0.634109; 0.421264
12.608; 0.993509; 0.669951; 0.666655; 0.443727
12.672; 0.99499; 0.669925; 0.659895; 0.439865
12.736; 0.990547; 0.669761; 0.632431; 0.419574
12.8; 0.991499; 0.669767; 0.661843; 0.439512
12.864; 0.991503; 0.669794; 0.656825; 0.436199
12.928; 0.989596; 0.66966; 0.620605; 0.41127
12.992; 0.986307; 0.670126; 0.598153; 0.395349
13.056; 0.989278; 0.670131; 0.604093; 0.400481
13.12; 0.987559; 0.669996; 0.631399; 0.417772
13.184; 0.991627; 0.669984; 0.651051; 0.432541
13.248; 0.995655; 0.66994; 0.647332; 0.431789
13.312; 0.991983; 0.669748; 0.61823; 0.410739
13.376; 0.992624; 0.669769; 0.655675; 0.435912
13.44; 0.991668; 0.669757; 0.647199; 0.429855
13.504; 0.992262; 0.669604; 0.617502; 0.410282
13.568; 0.991055; 0.669661; 0.65434; 0.434266
13.632; 0.988577; 0.669542; 0.613391; 0.405999
13.696; 0.987436; 0.669989; 0.586168; 0.387792
13.76; 0.990169; 0.669988; 0.593057; 0.393435
13.824; 0.988213; 0.669836; 0.618933; 0.409697
13.888; 0.992576; 0.66983; 0.643303; 0.427705
13.952; 0.997554; 0.66979; 0.636884; 0.425535
14.016; 0.992521; 0.66959; 0.609678; 0.405181
14.08; 0.993833; 0.669632; 0.646071; 0.429962
14.144; 0.993176; 0.669663; 0.636427; 0.423283
14.208; 0.99376; 0.669529; 0.60567; 0.402983
14.272; 0.993169; 0.6696; 0.644231; 0.428431
14.336; 0.992275; 0.669472; 0.603679; 0.401024
14.4; 0.985239; 0.669914; 0.575033; 0.379536
14.464; 0.991061; 0.669942; 0.583192; 0.387212
14.528; 0.990451; 0.669791; 0.609033; 0.404029
14.592; 0.995105; 0.669802; 0.636723; 0.424391
14.656; 0.992849; 0.669622; 0.601695; 0.400027
14.72; 0.994882; 0.669636; 0.634399; 0.422642
14.784; 0.994166; 0.669671; 0.629708; 0.419237
14.848; 0.993254; 0.669542; 0.595646; 0.396119
14.912; 0.993554; 0.669641; 0.634762; 0.422323
14.976; 0.992426; 0.669535; 0.597063; 0.396726
15.04; 0.993345; 0.669592; 0.632535; 0.420722
15.104; 0.991721; 0.669438; 0.591661; 0.392801
15.168; 0.991542; 0.669481; 0.627283; 0.416403
15.232; 0.987375; 0.669728; 0.526586; 0.348217
15.296; 0.991508; 0.669916; 0.605606; 0.40226
15.36; 0.993755; 0.669748; 0.595032; 0.396033
15.424; 0.991635; 0.669604; 0.594113; 0.394493
15.488; 0.995487; 0.669619; 0.627004; 0.417959
15.552; 0.995661; 0.669628; 0.621729; 0.414521
15.616; 0.994966; 0.669461; 0.587556; 0.391365
15.68; 0.992933; 0.669522; 0.621046; 0.412866
15.744; 0.992616; 0.66938; 0.582517; 0.387046
15.808; 0.9916; 0.669476; 0.623434; 0.413868
15.872; 0.991296; 0.66933; 0.582422; 0.38644
15.936; 0.985434; 0.669811; 0.559247; 0.369133
16; 0.991222; 0.669815; 0.559926; 0.371754
16.064; 0.990026; 0.669677; 0.588497; 0.390172
16.128; 0.995594; 0.66969; 0.614293; 0.409573
16.192; 0.992543; 0.669522; 0.574683; 0.381894
16.256; 0.994031; 0.669564; 0.616171; 0.410103
16.32; 0.992428; 0.669578; 0.609768; 0.405196
16.384; 0.992362; 0.669428; 0.575295; 0.382177
16.448; 0.990808; 0.66951; 0.617204; 0.409426
16.512; 0.991124; 0.669376; 0.576091; 0.382199
16.576; 0.985558; 0.669814; 0.551077; 0.363788
16.64; 0.993084; 0.669814; 0.550171; 0.365964
16.704; 0.990799; 0.669659; 0.583323; 0.387034
16.768; 0.996322; 0.669679; 0.60617; 0.404446
16.832; 0.992923; 0.669501; 0.570401; 0.379182
16.896; 0.99574; 0.669523; 0.608266; 0.405513
16.96; 0.991635; 0.669551; 0.59892; 0.397653
17.024; 0.992987; 0.669414; 0.569912; 0.378831
17.088; 0.989888; 0.669506; 0.608007; 0.402948
17.152; 0.992235; 0.669358; 0.564198; 0.374719
17.216; 0.98701; 0.669219; 0.566737; 0.374344
17.28; 0.986383; 0.669647; 0.536831; 0.354592
17.344; 0.989214; 0.669671; 0.538157; 0.356501
17.408; 0.987056; 0.669525; 0.569563; 0.376401
17.472; 0.993572; 0.66955; 0.595694; 0.396283
17.536; 0.995241; 0.669546; 0.588648; 0.392251
17.6; 0.991182; 0.669605; 0.591474; 0.392562
17.664; 0.994779; 0.669467; 0.553888; 0.368874
17.728; 0.991231; 0.669612; 0.604269; 0.401078
17.792; 0.994979; 0.669456; 0.554069; 0.369062
17.856; 0.990028; 0.669313; 0.558611; 0.370157
17.92; 0.993491; 0.669352; 0.594993; 0.395667
17.984; 0.990666; 0.669164; 0.549022; 0.363956
18.048; 0.983922; 0.669597; 0.525451; 0.346183
18.112; 0.989594; 0.669644; 0.521841; 0.345811
18.176; 0.989497; 0.669525; 0.55714; 0.369102
18.24; 0.994502; 0.669577; 0.591877; 0.394128
18.304; 0.992959; 0.669414; 0.549574; 0.365302
18.368; 0.994858; 0.669496; 0.586572; 0.390689
18.432; 0.990756; 0.669571; 0.579678; 0.384548
18.496; 0.992729; 0.669457; 0.547983; 0.364184
18.56; 0.989427; 0.669596; 0.589737; 0.39071
18.624; 0.991248; 0.669436; 0.543579; 0.360707
18.688; 0.986481; 0.669312; 0.548252; 0.36199
18.752; 0.987211; 0.66972; 0.521946; 0.345087
18.816; 0.991192; 0.669726; 0.511052; 0.33925
18.88; 0.994659; 0.669787; 0.588062; 0.391773
18.944; 0.997317; 0.669657; 0.539473; 0.360293
19.008; 0.996342; 0.669728; 0.584816; 0.390235
