time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 1; 0.68444; 0.747102; 0.511346
0.128; 0.999983; 0.684589; 0.518278; 0.354802
0.192; 0.981058; 0.684706; 0.687839; 0.462046
0.256; 0.977876; 0.684447; 0.222191; 0.148713
0.32; 0.951297; 0.686119; 0.271481; 0.177196
0.384; 0.938094; 0.687236; 0.61126; 0.394075
0.448; 0.917314; 0.687707; 0.604966; 0.381639
0.512; 0.922462; 0.689141; 0.598353; 0.380377
0.576; 0.924747; 0.690045; 0.659995; 0.421154
0.64; 0.926961; 0.69231; 0.428591; 0.275046
0.704; 0.945401; 0.691387; 0.340914; 0.222834
0.768; 0.945094; 0.692374; 0.611278; 0.399995
0.832; 0.956159; 0.691668; 0.377236; 0.249483
0.896; 0.972351; 0.692919; 0.585401; 0.39442
0.96; 0.964734; 0.69477; 0.585001; 0.392108
1.024; 0.966808; 0.695543; 0.740114; 0.497695
1.088; 0.968242; 0.696186; 0.754813; 0.508801
1.152; 0.973726; 0.696884; 0.744768; 0.505381
1.216; 0.977272; 0.697425; 0.758835; 0.517202
1.28; 0.980773; 0.697933; 0.761281; 0.521108
1.344; 0.983506; 0.698358; 0.767966; 0.52747
1.408; 0.985738; 0.698771; 0.765788; 0.527479
1.472; 0.987556; 0.699147; 0.77105; 0.53237
1.536; 0.98821; 0.699475; 0.770742; 0.532759
1.6; 0.988517; 0.699748; 0.778527; 0.538517
1.664; 0.988263; 0.700038; 0.776087; 0.536914
1.728; 0.988197; 0.700225; 0.778812; 0.538907
1.792; 0.988329; 0.700418; 0.780734; 0.540458
1.856; 0.988778; 0.700606; 0.783338; 0.542652
1.92; 0.988631; 0.700775; 0.785914; 0.544487
1.984; 0.987799; 0.700953; 0.780633; 0.540511
2.048; 0.986975; 0.701063; 0.783646; 0.542229
2.112; 0.986857; 0.701185; 0.787942; 0.545231
2.176; 0.986434; 0.701309; 0.785435; 0.54336
2.24; 0.986193; 0.701414; 0.787461; 0.54471
2.304; 0.985979; 0.701502; 0.78822; 0.545185
2.368; 0.985488; 0.701593; 0.787553; 0.544524
2.432; 0.98533; 0.701658; 0.789881; 0.546095
2.496; 0.985226; 0.701707; 0.7904; 0.546435
2.56; 0.984925; 0.701791; 0.788036; 0.5447
2.624; 0.984083; 0.70186; 0.786274; 0.54307
2.688; 0.984068; 0.701877; 0.791802; 0.546894
2.752; 0.984073; 0.701912; 0.791176; 0.546491
2.816; 0.984076; 0.70195; 0.791087; 0.546461
2.88; 0.983771; 0.701955; 0.790256; 0.545721
2.944; 0.986375; 0.702138; 0.773846; 0.535944
3.008; 0.987069; 0.70239; 0.768896; 0.533082
3.072; 0.985614; 0.702642; 0.771064; 0.533987
3.136; 0.983356; 0.702853; 0.776342; 0.536573
3.2; 0.984646; 0.702982; 0.78111; 0.540675
3.264; 0.98537; 0.703094; 0.787279; 0.545433
3.328; 0.985783; 0.703107; 0.783547; 0.543085
3.392; 0.986264; 0.702968; 0.788202; 0.54647
3.456; 0.986943; 0.702816; 0.785034; 0.544531
3.52; 0.987701; 0.702626; 0.786876; 0.54608
3.584; 0.987917; 0.702468; 0.790231; 0.548404
3.648; 0.988144; 0.702307; 0.79068; 0.548717
3.712; 0.988643; 0.702108; 0.786828; 0.546165
3.776; 0.988611; 0.701921; 0.788166; 0.54693
3.84; 0.989415; 0.701719; 0.788962; 0.547769
3.904; 0.989258; 0.701585; 0.790441; 0.548604
3.968; 0.98934; 0.70143; 0.78902; 0.547543
4.032; 0.989287; 0.701279; 0.792402; 0.549742
4.096; 0.989098; 0.70113; 0.793532; 0.550304
4.16; 0.98934; 0.700908; 0.788045; 0.54646
4.224; 0.988936; 0.700721; 0.786297; 0.544879
