time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 1; 0.68444; 0.747102; 0.511346
0.128; 0.999988; 0.684589; 0.518278; 0.354803
0.192; 0.999995; 0.685213; 0.479825; 0.32878
0.256; 0.999983; 0.68703; 0.19879; 0.136573
0.32; 0.999979; 0.689748; 0.121112; 0.0835353
0.384; 0.999989; 0.693442; 0.159892; 0.110875
0.448; 0.999329; 0.698103; 0.156275; 0.109023
0.512; 0.996607; 0.700211; 0.144875; 0.101099
0.576; 0.989985; 0.700032; 0.112233; 0.0777797
0.64; 0.983983; 0.700312; 0.382027; 0.263253
0.704; 0.980305; 0.700637; 0.718084; 0.493207
0.768; 0.979545; 0.698553; 0.513121; 0.35111
0.832; 0.974566; 0.698; 0.683803; 0.465155
0.896; 0.969693; 0.697747; 0.710715; 0.48087
0.96; 0.968057; 0.697835; 0.750118; 0.506737
1.024; 0.967989; 0.69809; 0.771526; 0.521354
1.088; 0.968628; 0.698391; 0.778665; 0.526752
1.152; 0.969069; 0.698706; 0.782436; 0.529783
1.216; 0.974836; 0.699217; 0.757096; 0.516053
1.28; 0.978264; 0.699587; 0.773561; 0.52941
1.344; 0.980427; 0.699907; 0.776072; 0.532547
1.408; 0.982779; 0.700219; 0.771859; 0.531163
1.472; 0.984296; 0.700458; 0.783396; 0.540118
1.536; 0.986543; 0.700712; 0.780673; 0.539666
1.6; 0.988146; 0.700937; 0.786166; 0.544521
1.664; 0.989908; 0.701149; 0.783358; 0.543707
1.728; 0.99068; 0.701307; 0.789327; 0.548401
1.792; 0.990762; 0.70144; 0.789301; 0.548532
1.856; 0.991473; 0.701587; 0.787025; 0.547458
1.92; 0.992549; 0.701743; 0.792458; 0.551959
1.984; 0.992454; 0.701904; 0.794448; 0.553418
2.048; 0.99269; 0.702034; 0.794243; 0.55351
2.112; 0.993295; 0.702138; 0.792105; 0.552438
2.176; 0.99372; 0.702207; 0.794293; 0.554256
2.24; 0.993303; 0.702283; 0.790586; 0.551497
2.304; 0.993372; 0.702342; 0.793171; 0.553386
2.368; 0.993226; 0.702425; 0.791216; 0.552005
2.432; 0.99353; 0.702481; 0.79451; 0.554517
2.496; 0.993329; 0.702567; 0.793175; 0.553542
2.56; 0.993416; 0.702622; 0.796264; 0.555789
2.624; 0.993323; 0.702672; 0.795077; 0.554947
2.688; 0.993484; 0.702722; 0.795284; 0.555222
2.752; 0.993375; 0.702782; 0.794365; 0.554567
2.816; 0.993494; 0.702849; 0.795376; 0.555392
2.88; 0.99356; 0.702909; 0.798164; 0.557424
2.944; 0.993618; 0.702949; 0.796265; 0.556162
3.008; 0.993505; 0.702984; 0.793418; 0.554137
3.072; 0.993525; 0.703041; 0.795379; 0.555563
3.136; 0.993869; 0.703068; 0.795259; 0.555693
3.2; 0.994009; 0.703099; 0.798131; 0.557803
3.264; 0.993291; 0.70314; 0.791342; 0.552691
3.328; 0.992849; 0.703192; 0.792985; 0.553633
3.392; 0.992914; 0.703203; 0.796635; 0.556227
3.456; 0.993088; 0.70321; 0.79577; 0.555726
3.52; 0.992981; 0.703215; 0.79458; 0.554838
3.584; 0.992837; 0.703219; 0.797756; 0.556978
3.648; 0.992871; 0.703219; 0.79595; 0.555737
3.712; 0.992668; 0.703232; 0.796277; 0.555861
3.776; 0.992554; 0.703246; 0.795537; 0.555293
3.84; 0.992604; 0.703243; 0.797345; 0.55658
3.904; 0.992382; 0.703246; 0.795715; 0.55532
3.968; 0.992126; 0.703254; 0.794057; 0.554027
4.032; 0.99199; 0.703235; 0.795218; 0.554745
4.096; 0.992163; 0.703224; 0.797027; 0.556097
4.16; 0.99203; 0.703212; 0.795393; 0.554872
4.224; 0.991825; 0.703197; 0.796051; 0.555204
