time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 1; 0.68444; 0.747102; 0.511346
0.128; 0.999983; 0.684589; 0.518278; 0.354802
0.192; 0.981058; 0.684706; 0.687839; 0.462046
0.256; 0.977639; 0.68445; 0.221063; 0.147923
0.32; 0.94875; 0.686065; 0.282902; 0.184142
0.384; 0.935593; 0.687164; 0.610544; 0.392522
0.448; 0.914206; 0.68767; 0.594893; 0.373993
0.512; 0.920199; 0.689232; 0.575997; 0.365315
0.576; 0.920636; 0.690064; 0.667524; 0.424076
0.64; 0.893861; 0.691301; 0.541684; 0.334721
0.704; 0.906702; 0.689749; 0.3827; 0.239339
0.768; 0.911054; 0.692911; 0.402725; 0.254232
0.832; 0.927428; 0.692515; 0.327002; 0.210019
0.896; 0.927201; 0.692873; 0.674424; 0.433272
0.96; 0.941459; 0.693985; 0.663122; 0.433257
1.024; 0.968234; 0.695681; 0.61244; 0.412529
1.088; 0.969244; 0.699105; 0.444241; 0.301019
1.152; 0.973058; 0.700071; 0.708988; 0.482969
1.216; 0.977562; 0.700622; 0.74809; 0.512367
1.28; 0.982174; 0.701168; 0.751252; 0.517364
1.344; 0.985359; 0.701602; 0.760055; 0.52545
1.408; 0.986587; 0.701973; 0.761287; 0.527236
1.472; 0.986413; 0.702315; 0.764463; 0.529599
1.536; 0.985548; 0.702547; 0.767555; 0.53145
1.6; 0.985492; 0.702816; 0.774233; 0.536249
1.664; 0.985294; 0.703062; 0.77827; 0.539125
1.728; 0.985195; 0.703279; 0.778134; 0.539143
1.792; 0.985198; 0.703494; 0.781843; 0.54188
1.856; 0.985281; 0.703716; 0.782542; 0.542581
1.92; 0.98493; 0.703942; 0.781167; 0.54161
1.984; 0.984774; 0.70413; 0.778814; 0.540037
2.048; 0.984937; 0.704289; 0.787047; 0.545959
2.112; 0.984216; 0.704481; 0.78399; 0.543588
2.176; 0.983871; 0.704665; 0.785766; 0.544771
2.24; 0.98302; 0.704825; 0.786565; 0.544977
2.304; 0.982762; 0.704922; 0.79116; 0.548092
2.368; 0.982975; 0.705038; 0.790211; 0.547644
2.432; 0.98261; 0.705133; 0.79119; 0.548192
2.496; 0.98272; 0.7052; 0.792051; 0.548903
2.56; 0.98256; 0.705318; 0.789886; 0.547405
2.624; 0.982515; 0.705417; 0.790598; 0.54795
2.688; 0.982596; 0.705481; 0.79217; 0.549135
2.752; 0.982677; 0.705571; 0.791161; 0.548551
2.816; 0.982802; 0.705677; 0.790686; 0.548373
2.88; 0.982872; 0.705743; 0.792732; 0.549883
2.944; 0.983105; 0.705812; 0.790864; 0.548771
3.008; 0.983049; 0.70591; 0.79113; 0.549
3.072; 0.982867; 0.705977; 0.79288; 0.550165
3.136; 0.982838; 0.70606; 0.792021; 0.549616
3.2; 0.983126; 0.706061; 0.78609; 0.545662
3.264; 0.983307; 0.705896; 0.792345; 0.549977
3.328; 0.983905; 0.705655; 0.787424; 0.546706
3.392; 0.983754; 0.705505; 0.793236; 0.55054
3.456; 0.98417; 0.70528; 0.787899; 0.546893
3.52; 0.984552; 0.705052; 0.791606; 0.549501
3.584; 0.984627; 0.704847; 0.794778; 0.551585
3.648; 0.984665; 0.704645; 0.794986; 0.551592
3.712; 0.985206; 0.704413; 0.789413; 0.547847
3.776; 0.985443; 0.704209; 0.790214; 0.548375
3.84; 0.986363; 0.704029; 0.788113; 0.547287
3.904; 0.986419; 0.703888; 0.793869; 0.551206
3.968; 0.986749; 0.703736; 0.791915; 0.549914
4.032; 0.986827; 0.703602; 0.792627; 0.550348
4.096; 0.986932; 0.703468; 0.796332; 0.552874
4.16; 0.986919; 0.703286; 0.789545; 0.548013
4.224; 0.986735; 0.703072; 0.788418; 0.546962
