time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 1; 0.68444; 0.747102; 0.511346
0.128; 0.999988; 0.684589; 0.518278; 0.354803
0.192; 0.999995; 0.685213; 0.479825; 0.32878
0.256; 0.999983; 0.68703; 0.19879; 0.136573
0.32; 0.999979; 0.689748; 0.121112; 0.0835353
0.384; 0.999989; 0.693442; 0.159892; 0.110875
0.448; 0.999989; 0.698081; 0.159951; 0.111658
0.512; 0.999991; 0.700077; 0.159951; 0.111977
0.576; 0.999993; 0.699512; 0.159892; 0.111846
0.64; 0.999986; 0.699222; 0.443832; 0.310333
0.704; 0.999989; 0.699188; 0.745768; 0.521426
0.768; 0.999981; 0.696844; 0.518693; 0.361441
0.832; 0.999986; 0.696565; 0.76074; 0.529898
0.896; 0.999986; 0.696565; 0.799639; 0.556992
0.96; 0.999986; 0.696565; 0.799698; 0.557034
1.024; 0.999988; 0.696565; 0.799698; 0.557035
1.088; 0.999991; 0.696565; 0.799668; 0.557015
1.152; 0.999994; 0.696565; 0.799698; 0.557038
1.216; 0.999995; 0.696565; 0.799668; 0.557018
1.28; 0.999994; 0.696565; 0.799698; 0.557038
1.344; 0.999991; 0.696565; 0.799668; 0.557016
1.408; 0.999989; 0.696565; 0.799668; 0.557015
1.472; 0.999988; 0.696565; 0.799668; 0.557014
1.536; 0.999987; 0.696565; 0.799698; 0.557035
1.6; 0.999988; 0.696565; 0.799698; 0.557035
1.664; 0.99999; 0.696565; 0.799639; 0.556995
1.728; 0.999994; 0.696565; 0.799728; 0.557059
1.792; 0.999996; 0.696565; 0.799668; 0.557019
1.856; 0.999996; 0.696565; 0.799698; 0.557039
1.92; 0.999993; 0.696565; 0.799668; 0.557017
1.984; 0.99999; 0.696565; 0.799668; 0.557015
2.048; 0.999987; 0.696565; 0.799668; 0.557014
2.112; 0.999986; 0.696565; 0.799698; 0.557034
2.176; 0.999986; 0.696564; 0.799698; 0.557033
2.24; 0.999987; 0.696564; 0.799639; 0.556992
2.304; 0.999989; 0.696564; 0.799728; 0.557056
2.368; 0.999992; 0.696564; 0.799668; 0.557016
2.432; 0.999995; 0.696564; 0.799668; 0.557017
2.496; 0.999995; 0.696564; 0.799698; 0.557038
2.56; 0.999993; 0.696564; 0.799668; 0.557017
2.624; 0.99999; 0.696564; 0.799668; 0.557015
2.688; 0.999988; 0.696565; 0.799698; 0.557035
2.752; 0.999987; 0.696565; 0.799698; 0.557034
2.816; 0.999987; 0.696565; 0.799639; 0.556993
2.88; 0.999989; 0.696565; 0.799698; 0.557035
2.944; 0.999992; 0.696565; 0.799698; 0.557037
3.008; 0.999995; 0.696565; 0.799668; 0.557018
3.072; 0.999996; 0.696565; 0.799698; 0.557039
3.136; 0.999995; 0.696565; 0.799668; 0.557018
3.2; 0.999991; 0.696564; 0.799668; 0.557016
3.264; 0.999988; 0.696564; 0.799698; 0.557035
3.328; 0.999986; 0.696564; 0.799698; 0.557033
3.392; 0.999986; 0.696564; 0.799639; 0.556992
3.456; 0.999986; 0.696564; 0.799698; 0.557033
3.52; 0.999988; 0.696564; 0.799698; 0.557034
3.584; 0.999991; 0.696564; 0.799668; 0.557015
3.648; 0.999994; 0.696564; 0.799698; 0.557037
3.712; 0.999995; 0.696564; 0.799668; 0.557018
3.776; 0.999995; 0.696564; 0.799668; 0.557017
3.84; 0.999992; 0.696564; 0.799668; 0.557016
3.904; 0.99999; 0.696564; 0.799728; 0.557056
3.968; 0.999988; 0.696564; 0.799639; 0.556993
4.032; 0.999987; 0.696564; 0.799698; 0.557034
4.096; 0.999988; 0.696564; 0.799698; 0.557035
4.16; 0.99999; 0.696564; 0.799668; 0.557015
4.224; 0.999993; 0.696564; 0.799698; 0.557038
